original_english	augmented_spanglish	original_spanish
besides the diabetes do you have other problems or important diseases?	besides the diabetes do you have other problems or important diseases?	además de la diabetes, ¿tiene otros problemas o enfermedades importantes?
but also we shouldn't be put aside for the heart cardiac origin chest pain	but also we shouldn't be put aside for the heart cardiac origin chest pain	pero, además, no deberían ignorarnos por el dolor de pecho de origen cardíaco
but a more important problem now is this chest pain	pero a mas importante problemas now is este pecho dolor	pero ahora un problema más importante es este dolor de pecho
but if you have the cough	sino if tu han las tos	pero si tiene tos
but i have difficulty breathing	pero i tengan dificultad respiración	pero tengo dificultad para respirar
but i know lot of people cough on me	pero i conozca lot of pueblo tos on me	pero sé que muchas personas me tosen encima
but we need to treat every chest pain with the utmost seriousness	pero we necesitar to tratar cada pecho dolores con la utmost seriedad	pero siempre debemos tratar el dolor de pecho con la máxima seriedad
but you're breathing all right right now right?	pero you're respiración todas derecha derecho now right?	¿pero ahora estás respirando bien, no?
cause of this chest pain i totally forgot	cause of this chest pain i totally forgot	por este dolor de pecho me olvidé por completo
cause they're having a cough	causa they're habiendo a tos	porque tienen tos
does it feel like somebody squeezing your chest	hace it feel como alguien apretando sus cofre	se siente como si alguien te estrujara el pecho
do still feel like shortness of breath	do aún feel gustar shortness of aliento	todavía se siente como falta de aire
do they complain of being sick similar symptoms?	do ellas quejarse of estar enfermas similares symptoms?	¿se quejan de estar enfermos con síntomas similares?
do you have any blood pressure problem as far as you know?	do you have any blood pressure problem as far as you know?	¿tiene algún problema de presión arterial hasta donde sabe?
do you have any other chronic like high blood pressure or anything like that?	do te tienen cualquier otras crónico como elevada sangre presiones or anything como that?	¿tiene alguna otra enfermedad crónica, como presión arterial alta o algo como eso?
do you have any other diseases chronic medical problems like diabetes?	do tu tener cualquiera otras enfermedades crónicas médico problemas like diabetes?	¿tiene alguna otra enfermedad, problema médico crónico, como diabetes?
do you have any shortness of breath with that chest pain?	do vos tener cualquiera shortness of respiración con que tórax pain?	¿tiene algo de falta de aire además de dolor de pecho?
do you have high blood pressure?	do te tienen high blood pressure?	¿tiene presión arterial alta?
do you have some shortness of breath goes with that?	do te tener some shortness of respiración goes con that?	¿tiene algunos episodios de falta de aire con eso?
do you know what symptoms she was having?	do tú sepa qué síntomas ella era having?	¿sabe qué síntomas tenía?
do your relatives have the same symptoms	do tu parientes tengan las mismo síntomas	sus familiares tienen los mismos síntomas
do you see the image?	do you see the image?	¿ve la imagen?
drink plenty of fluids today	beber abundancia of fluidos hoy	beba mucho líquido hoy
have a dry cough a cold and runny nose vomiting diarrhea	have a dry cough a cold and runny nose vomiting diarrhea	tener tos seca resfriado y secreción nasal vómitos diarrea
however i take tests for the diabetes	however i tomar pruebas para los diabetes	sin embargo, me hago pruebas para la diabetes
however she has symptoms quite similar to mine	however she has symptoms quite similar to mine	sin embargo, tiene síntomas bastante parecidos a los míos
how high is your fever?	how alta is tu fever?	¿cuánto tiene de fiebre?
how' s your blood pressure?	how' s your blood pressure?	¿cómo está su presión arterial?
i don't think i have high blood pressure	i don't piense i tengan alto sangre presión	no creo tener presión arterial alta
i feel a pain in the chest here in the front part of the chest	i feel a pain in the chest here in the front part of the chest	siento dolor de pecho aquí, en la parte de adelante del pecho
if you continue to have high fevers	if you continue to have high fevers	si sigue teniendo fiebre alta
if you have a fever of a hundred and two or higher	if you have a fever of a hundred and two or higher	si tiene fiebre de ciento dos grados o superior
if you think that your symptoms or problems warrant a better look	if vos piensen que sus síntomas or problemas warrant a mejor mire	si cree que sus síntomas o problemas justifican un examen mejor
i got a fever yesterday	i tengo a fiebre ayer	me dio fiebre ayer
i got a slight fever too	i got a ligera fiebre demasiado	también tuve un poco de fiebre
i had a fever yesterday	i tuvo a fiebre ayer	tuve fiebre ayer
i had a short sharp pain in my chest	i had a short sharp pain in my chest	tuve un dolor agudo breve en el pecho
i have a sharp pain here in the chest	i han a agudo dolores aqui in las tórax	tengo un dolor agudo aquí, en el pecho
i have hay fever though too	i have hay fever though too	aunque también tengo alergia al polen
i have made on the body around the chest area?	i tengan made on la cadáver around las tórax area?	{NS}
i have some difficulty breathing too	i have some difficulty breathing too	también tengo algo de dificultad para respirar
i'll send you an image	i'll send you an image	te enviaré una imagen
i'm having some chest pain today	i'm teniendo algunos pecho dolores today	hoy tengo un poco de dolor de pecho
i'm just having some headaches and some fever today	i'm simplemente habiendo algunas headaches y algunas fiebre hoy	hoy solo tengo un poco de dolor de cabeza y algo de fiebre
in my opinion it is flu	in my opinion it is gripe	en mi opinión, es una gripe
in my opinion this is a little flu	in my dictamen esta is a pequeño gripe	en mi opinión, es un poco de gripe
i see it going from the center of your chest going up to your neck	i ver it va desde el centrar of tus cofre yendo up to sus cuello	veo que sube desde el centro de su pecho hasta su cuello
is it like some heavy heavy person sitting on your chest?	is it como some pesadas heavy persona sentado on tus chest?	¿es como si alguien muy, muy pesado se sentara sobre su pecho?
it all started with the headaches and with the fever about the same time	it todos iniciada con el headaches y con los fiebre acerca el igual tiempo	todo empezó con dolor de cabeza y fiebre más o menos al mismo tiempo
it hurts in the chest	it duele in las pecho	me duele el pecho
it hurts in the middle of my chest	it duele in los middle of my cofre	me duele el centro del pecho
it is a pressure like chest pain	it is a presion like cofre dolores	es una presión como el dolor de pecho
it is in my chest	it is in my chest	es en mi pecho
it is in the center of my chest	it is in los centro of my pecho	es en el centro de mi pecho
it is in the center of the chest	it is in the center of the chest	es en el centro del pecho
it is occurring right in the middle of my chest	it is occurring right in the middle of my chest	está ocurriendo justo en el centro de mi pecho
it is right in the center of my chest	it is right in the center of my chest	es justo en el centro de mi pecho
it sounds like you just may have the garden variety cold or a flu	it suena gustar tú solo mayo tengan el jardin variedad cold or a gripe	suena como que quizás solo tenga un resfriado común y corriente o una gripe
i've got pain in my chest	i've tengo dolores in my pecho	siento dolor en el pecho
i've very concerned of this chest pain	i've very concerned of this chest pain	me preocupa mucho este dolor de pecho
i want you to tell me in describing this chest pain	i querer tú to decir me in describir esta cofre dolores	quiero que me diga cómo describe este dolor de pecho
i will send you an image	i will send you an image	le enviaré una imagen
i will send you an image on your screen	i voluntad enviar tu an imágen on tus pantalla	le enviaré una imagen en su pantalla
like high blood pressure or diabetes	like high blood pressure or diabetes	como presión arterial alta o diabetes
like right in the center of the chest	like right in the center of the chest	como justo en el centro del pecho
most of the time it is this type of chest pain	most of the time it is this type of chest pain	casi siempre es este tipo de dolor de pecho
my sister has similar symptoms	my hermana ha parecido síntomas	mi hermana tiene síntomas similares
now for the fever you can take a tachipirina sweet	now for the fever you can take a tachipirina sweet	ahora puede tomar un comprimido de Tachipirina para la fiebre
now i send you an image	now i send you an image	ahora le envío una imagen
now mary how many days have you had the symptoms	now maria how muchos jornadas tienen tú tuvo la síntomas	ahora, Mary, hace cuántos días que tiene los síntomas
now you said you have a chest pain	ahora tu dijo te han a tórax dolores	ahora dijo que tiene dolor de pecho
occasionally i have some chest pain	ocasionalmente i tienen some pecho dolores	en ocasiones, tengo un poco de dolor de pecho
okay are you having any other symptoms along with this other than just the pain	okay están te tener cualquiera otros síntomas junto con este otro than sólo el dolores	bien, tiene algún otro síntoma además de este, que no sea solo el dolor
or if you have high blood pressure	or if you have high blood pressure	o si tiene presión arterial alta
or somebody sitting on your chest?	or somebody sitting on your chest?	¿o alguien sentado sobre su pecho?
pretty much the same with the fever and the cough headache and muscle pains	bastante mucho las igual con las fiebre y el toser cefalea y muscular pains	básicamente igual, con fiebre y tos, dolor de cabeza y dolor muscular
right in the middle of my chest	derecho in el middle of my tórax	justo en el centro del pecho
show me on this image where you feel the pain	show me on this image where you feel the pain	muéstreme en esta imagen dónde siente el dolor
since you have a fever	desde usted tengan a fiebre	desde que tiene fiebre
so do you think that some of these symptoms could be related to being pregnant?	so do you think that some of these symptoms could be related to being pregnant?	¿entonces piensa que algunos de estos síntomas podrían estar relacionados con el embarazo?
so your chest pain started this morning	so sus cofre dolor comenzó este morning	así que el dolor de pecho comenzó esta mañana
so your children are having some of the same symptoms?	so your children are having some of the same symptoms?	¿así que sus hijos tienen algunos de los mismos síntomas?
tell me about your chest pain	decir me acerca tu tórax dolores	cuénteme sobre su dolor de pecho
the fever increases at night	el fiebre aumentos at noche	la fiebre es más alta por la noche
the fever i've had for the last two days	los fiebre i've tuvo para las últimos two dias	la fiebre que tuve los últimos dos días
the fever started to increase last night	the fever started to increase last night	la fiebre empezó a ser más alta anoche
the fever started two days ago	the fever started two days ago	la fiebre empezó hace dos días
the muscle pains with the hay fever	la músculo pains con el hay fiebre	los dolores musculares con la alergia al polen
this is doctor porter in the emergency room triage center	este is doctor mozo in el emergencia habitación triage centro	este es el doctor Porter en el centro de triaje de la sala de emergencias
well can you tell me a little bit more about your chest pain?	well can you tell me a little bit more about your chest pain?	bueno, ¿puede contarme un poco más sobre su dolor de pecho?
well from my point of view it is a little flu	bien from my punta of vista it is a little gripe	bueno, desde mi punto de vista, es un poco de gripe
well i feel a pain in the front of my body here in my chest	bueno i siento a dolores in los fachada of my corporal aquí in my cofre	bueno, siento un dolor en la parte de adelante del cuerpo, aquí en el pecho
well i've been having a strong pain in my chest	well i've been having a strong pain in my chest	bueno, he estado sintiendo un dolor fuerte en el pecho
well madam from listening to your symptoms it sounds like you've got one of the flu viruses	well madam from listening to your symptoms it sounds like you've got one of the flu viruses	bueno, señora, al escuchar sus síntomas, parece que tiene uno de los virus de la gripe
well when i have that pain in my chest	well when i have that pain in my chest	bueno, cuando tengo ese dolor en el pecho
what kinda pain do you have in your chest?	what kinda pain do you have in your chest?	¿qué tipo de dolor tienes en el pecho?
when this chest pain started?	when this chest pain started?	¿cuándo comenzó este dolor en el pecho?
where do you have the pain in the chest?	adonde do vos tengan las dolor in el chest?	¿dónde siente dolor en el pecho?
where you feel this chest pain eel this chest t	where tu feel este tórax dolores anguilas esta tórax t	{NS}
you are probably having chest pain	you are probably having chest pain	probablemente tenga dolor de pecho
you feel like tightness on your chest	vos siente like tightness on tus cofre	siente como opresión en el pecho
you know i got diabetes and stuff	vos know i got diabetes y cosas	sabes que tengo diabetes y demás
you said you're having this chest pain	you said you're having this chest pain	dijo que siente este dolor de pecho
Rapidly increasing cumulative incidence of coronavirus disease (COVID-19) in the European Union/European Economic Area and the United Kingdom, 1 January to 15 March 2020	Rapidly increasing cumulative incidence of coronavirus disease (COVID-19) in the European Union/European Economic Area and the United Kingdom, 1 January to 15 March 2020	Incidencia acumulada en rápido aumento de la enfermedad por coronavirus (COVID-19) en la Unión Europea o el Espacio Económico Europeo y el Reino Unido, del 1 de enero al 15 de marzo de 2020
The cumulative incidence of coronavirus disease (COVID-19) cases is showing similar trends in European Union/European Economic Area countries and the United Kingdom confirming that, while at a different stage depending on the country, the COVID-19 pandemic is progressing rapidly in all countries.	las acumulada incidencia of coronavirus enfermedad (COVID-19) estuches is mostrando parecido tendencias in europeo Union/European económicos área paises y el unidos kingdom confirmando that, mientras at a diferente stage dependiendo on las country, la COVID-19 pandemia is progresando rápidamente in all countries.	La incidencia acumulada de casos de enfermedad por coronavirus (COVID-19) demuestra tendencias similares en los países de la Unión Europea o el Espacio Económico Europeo y el Reino Unido, lo que confirma que, aunque en diferentes etapas según el país, la pandemia de COVID-19 está avanzando rápidamente en todos los países.
Based on the experience from Italy, countries, hospitals and intensive care units should increase their preparedness for a surge of patients with COVID-19 who will require healthcare, and in particular intensive care.	basado on las experiencias de Italy, countries, hospitales y intenso cuidado unidades deberia aumento sus preparación para a oleada of pacientes con COVID-19 quién will exigir healthcare, y in particular intensivos care.	Sobre la base de la experiencia de Italia, los países, los hospitales y las unidades de cuidados intensivos deben mejorar su preparación para una ola de pacientes con COVID-19 que requerirán atención médica y, en particular, cuidados intensivos.
On 31 December 2019, a cluster of pneumonia cases of unknown aetiology was reported in Wuhan, Hubei Province, China.	On 31 diciembre 2019, a cúmulo of neumonía estuches of desconocidos aetiology estaba informado in Wuhan, hubei Province, China.	El 31 de diciembre de 2019, se informó un conglomerado de casos de neumonía de etiología desconocida en Wuhan, provincia de Hubei, China.
On 9 January 2020, the China Center for Disease Control and Prevention reported the causative agent as being a novel coronavirus now referred to as severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2).	On 9 January 2020, the China Center for Disease Control and Prevention reported the causative agent as being a novel coronavirus now referred to as severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2).	El 9 de enero de 2020, el Centro para el Control y la Prevención de Enfermedades de China informó que el agente causante era un nuevo coronavirus que ahora se conoce como coronavirus 2 del síndrome respiratorio agudo severo (SARS-CoV-2).
Since, the illness resulting from SARS-CoV-2 infection has been named coronavirus disease (COVID-19).	Since, los enfermedades resultante desde SARS-CoV-2 infección ha sido nombrado coronavirus enfermedad (COVID-19).	Desde entonces, la enfermedad provocada por la infección con SARS-CoV-2 se ha denominado enfermedad por coronavirus (COVID-19).
Evidence to date is that ca 80% of individuals with COVID-19 have a mild disease, i.e. a respiratory tract infection with or without pneumonia, and most of these recover.	pruebas to date is eso ca 80% of individuales con COVID-19 han a suave disease, i.e. a respiratorios tracto infecciones con or sin pneumonia, y most of estos recover.	La evidencia a la fecha indica que el 80 % de las personas con COVID-19 tienen una enfermedad leve, es decir, una infección del tracto respiratorio con o sin neumonía, y que la mayoría se recupera.
In ca 14% cases, COVID-19 develops into a more severe disease requiring hospitalisation while the remaining 6% cases experience critical illness requiring intensive care.	In ca 14% cases, COVID-19 desarrolla into a more severa enfermedad requiriendo hospitalización mientras el restante 6% cases experiencias crítico enfermedad requiriendo intensiva care.	En el 14 % de los casos, la COVID-19 evoluciona hacia una enfermedad más grave que requiere hospitalización, mientras que el 6 % restante de los casos desarrollan una enfermedad crítica que requiere cuidados intensivos.
The mortality of patients hospitalised due to COVID-19 is ca 4%.	The mortality of patients hospitalised due to COVID-19 is ca 4%.	La mortalidad en pacientes hospitalizados por COVID-19 es del 4 %.
In this study, we assess the trends in the cumulative incidence of COVID-19 in each European Union/European Economic Area (EU/EEA) country and the United Kingdom (UK) and compare them to that of Hubei Province, China.	In esta study, we evaluar el tendencias in las acumulativos incidencia of COVID-19 in cada europea Union/European economico area (EU/EEA) pais y los unido kingdom (UK) y compare ellas to que of hubei Province, China.	En este estudio, examinamos las tendencias en la incidencia acumulada de COVID-19 en cada país de la Unión Europea o el Espacio Económico Europeo (UE/EEE) y el Reino Unido (RU) y las comparamos con las de la provincia de Hubei, China.
We also compare the current number of COVID-19 cases in EU/EEA countries and the UK with that in Italy during 31 January–15 March 2020.	We also compare the current number of COVID-19 cases in EU/EEA countries and the UK with that in Italy during 31 January–15 March 2020.	También comparamos la cantidad actual de casos de COVID-19 en los países de la UE/EEE y el RU con la de Italia desde el 31 de enero hasta el 15 de marzo de 2020.
COVID-19 cases in EU/EEA countries and the UK	COVID-19 casos in EU/EEA países y el UK	Casos de COVID-19 en los países de la UE/EEE y el RU
Subsequent to China, COVID-19 underwent further geographical spread and the dynamic of the COVID-19 pandemic in the rest of the world currently follows that of this country.	subsiguiente to China, COVID-19 underwent further geográfico propagación y los dinamismo of las COVID-19 pandemia in los descansen of el mundial actualmente follows que of este country.	Después de China, la COVID-19 siguió propagándose geográficamente y la dinámica de la pandemia de COVID-19 en el resto del mundo actualmente sigue la de este país.
On 11 March 2020, the Director General of the World Health Organization (WHO) declared COVID-19 a pandemic.	On 11 marchen 2020, el director generales of las mundial sanidad organizacion (WHO) declarado COVID-19 a pandemic.	El 11 de marzo de 2020, el director general de la Organización Mundial de la Salud (OMS) declaró la COVID-19 como pandemia.
In the 5 March issue of Eurosurveillance 2020, Spiteri et al. reported on the first European confirmed COVID-19 cases according to the WHO case definition.	In las 5 marchen cuestión of Eurosurveillance 2020, spiteri et al. denunciado on los primero europeas confirmados COVID-19 casos segun to los quién case definition.	En la edición del 5 de marzo de Eurosurveillance 2020, Spiteri et al. informó sobre los primeros casos confirmados de COVID-19 en Europa de acuerdo con la definición de caso de la OMS.
In the EU/EEA, the first three confirmed cases were reported by France on 24 January 2020 in persons returning from Wuhan, Hubei Province, China.	In los EU/EEA, los primer tres confirmado estuches fueron informó by francia on 24 enero 2020 in personas regresando de Wuhan, hubei Province, China.	En la UE/EEE, los primeros tres casos confirmados se registraron en Francia el 24 de enero de 2020, en personas que habían regresado de Wuhan, provincia de Hubei, China.
As at 15 March 2020, COVID-19 cases had been detected in all 30 EU/EEA countries and the United Kingdom (UK), whereby between 31 December 2019 and that date included, 39,768 cases and 1,727 deaths had been reported, with 17,750 cases and 1,441 deaths from Italy alone.	As at 15 marcha 2020, COVID-19 cases tenido sido detectado in all 30 EU/EEA países y el unidos reino (UK), whereby entre 31 diciembre 2019 y que cita included, 39,768 casos y 1,727 defunciones tuvo sido reported, con 17,750 casos y 1,441 muertes desde italia alone.	Al 15 de marzo de 2020, se habían detectados casos de COVID-19 en los 30 países de la UE/EEE y el Reino Unido (RU), conforme a lo cual entre el 31 de diciembre de 2019 y esa fecha inclusive, se habían registrado 39 768 casos y 1727 muertes, de los cuales 17 750 casos y 1441 muertes habían ocurrido en Italia solamente.
Obtaining cumulative number and cumulative incidence of COVID-19 cases	obtención acumulativo numero y acumulativos incidencia of COVID-19 casos	Obtención de la cantidad acumulada e incidencia acumulada de casos de COVID-19
At the European Centre for Disease Prevention and Control (ECDC), the notified COVID-19 case counts in each country worldwide, obtained from only official sources such as the countries’ Ministry of Health, national and regional health authorities and the WHO, are updated each day at 8:00 a.m.	At las europea centre para enfermedad prevención y control (ECDC), los notificados COVID-19 estuche cuenta in cada pais worldwide, obtenidos from únicamente oficial fuentes tal as los countries’ cancillería of Health, nacional y regional salud autoridades y el WHO, are actualizada cada dia at 8:00 a.m.	En el Centro Europeo para el Control y la Prevención de las Enfermedades (ECDC), los recuentos de casos de COVID-19 informados en cada país del mundo, obtenidos únicamente de fuentes oficiales, como el Ministerio de Salud de los países, autoridades sanitarias nacionales y regionales y la OMS, se actualizan todos los días a las 8:00 a. m.
These data were used for assessing the trends of COVID-19 in EU/EEA and the UK, and comparing them to that in Italy.	éstas datos estaban utilizados para evaluando los tendencias of COVID-19 in EU/EEA y el UK, y comparar ellos to eso in Italy.	Estos datos se usaron para examinar las tendencias de la COVID-19 en la UE/EEE y el RU y para compararlas con la de Italia.
As a proxy of the prevalence of active COVID-19 cases, we calculated the 14-day truncated cumulative incidence of COVID-19 cases, thus taking into account the natural course of COVID-19, in each EU/EEA country and the UK, during the 1 January–15 March 2020 period.	As a proxy of el prevalencia of activo COVID-19 cases, we calculada la 14-day truncado acumulada incidencia of COVID-19 cases, thus teniendo into cuenta la naturales rumbo of COVID-19, in cada EU/EEA país y la UK, durante el 1 January–15 marcha 2020 period.	Como indicador de la prevalencia de los casos activos de COVID-19, calculamos la incidencia acumulada de casos de COVID-19 truncada a 14 días; de esta manera, tuvimos en cuenta el curso natural de la COVID-19, en cada país de la UE/EEE y el RU, durante el período del 1 de enero al 15 de marzo de 2020.
We also presented the cumulative number of notified cases of each country as at 15 March 2020 8:00 a.m. compared with that of Italy for the 31 January–15 March 2020 period.	We tambien presentado el acumulativos numero of notificado casos of cada pais as at 15 marcha 2020 8:00 a.m. comparó con eso of italia para la 31 January–15 marchen 2020 period.	También presentamos la cantidad acumulada de casos informados en cada país al 15 de marzo de 2020, a las 8:00 a. m., en comparación con la de Italia para el período del 31 de enero al 15 de marzo de 2020.
Trends of COVID-19 in EU/EEA countries and the UK	tendencias of COVID-19 in EU/EEA paises y los UK	Tendencias de la COVID-19 en los países de la UE/EEE y el RU
The trends in the 14-day truncated cumulative incidence of COVID-19 cases in EU/EEA countries and the UK generally followed that of Hubei Province (China) (Figure 1).	el tendencias in el 14-day truncado acumulado incidencia of COVID-19 cases in EU/EEA paises y el UK generalmente seguida eso of hubei provincia (China) (Figure 1).	Las tendencias en la incidencia acumulada de casos de COVID-19 truncada a 14 días en los países de la UE/EEE y el RU, en general, siguieron la de la provincia de Hubei (China) (figura 1).
For the EU/EEA and the UK overall, the cumulative incidence of COVID-19 started to increase around 21 February and then increased sharply around 28 February 2020 (Supplementary material).	para los EU/EEA y la UK overall, el acumulativo incidencia of COVID-19 comenzado to aumento around 21 febrero y luego aumento sharply alrededor 28 febrero 2020 (Supplementary material).	En la UE/EEE y el RU en general, la incidencia acumulada de la COVID-19 comenzó a aumentar alrededor del 21 de febrero y, luego, aumentó considerablemente cerca del 28 de febrero de 2020 (material complementario).
This was mostly driven by the rapid increase in the number of reported cases from Italy, but all other EU/EEA countries and the UK showed similar increasing trends of the cumulative incidence of COVID-19 (Supplementary material).	esto era principalmente impulsado by el rapid aumentan in la número of reportado estuches desde Italy, pero all otro EU/EEA países y los UK mostró parecido incrementando tendencias of los acumulado incidencia of COVID-19 (Supplementary material).	Esto se debió principalmente al aumento rápido en la cantidad de casos informados de Italia, pero todos los demás países de la UE/EEE y el RU exhibieron tendencias ascendentes de la incidencia acumulada de la COVID-19 similares (material complementario).
Figure 2 shows the cumulative number of COVID-19 cases, in EU/EEA countries and the UK compared with that in Italy for the 31 January–15 March 2020 period.	figura 2 espectáculos las acumulativos numero of COVID-19 cases, in EU/EEA paises y la UK comparadas con eso in italia para el 31 January–15 marzo 2020 period.	La figura 2 muestra la cantidad acumulada de casos de COVID-19 en los países de la UE/EEE y el RU, en comparación la de Italia para el período del 31 de enero al 15 de marzo de 2020.
It highlights that, as at 15 March 8:00 a.m., 15 other EU/EEA countries and the UK had already reported a total number of cases comparable to that of Italy just 3 weeks prior or less.	It destacados that, as at 15 marzo 8:00 a.m., 15 otros EU/EEA paises y la UK tenido ya reportado a totales número of estuches comparable to que of italia just 3 semanas previo or less.	Destaca que, al 15 de marzo a las 8:00 a. m., otros 15 países de la UE/EEE y el RU ya habían registrado una cantidad total de casos comparable con la de Italia solo 3 semanas antes o menos.
Our results indicate that the number of notified cases of COVID-19 is rapidly increasing in the EU/EEA and the UK.	Our results indicate that the number of notified cases of COVID-19 is rapidly increasing in the EU/EEA and the UK.	Nuestros resultados indican que la cantidad de casos de COVID-19 informados está aumentando rápidamente en la UE/EEE y el RU.
The observed trends in the cumulative incidence of COVID-19 suggest that the pandemic is progressing at a comparable speed in all countries.	los observó tendencias in el acumulada incidencia of COVID-19 sugerir que el pandemia is progresando at a comparables celeridad in todos countries.	Las tendencias observadas en la incidencia acumulada de la COVID-19 sugieren que la pandemia está avanzando a un ritmo similar en todos los países.
This is despite countries being at different stages, variations in national public health responses, and possibly different case definitions in countries and different protocols for selecting patients that must be tested for confirmation of COVID-19, including catch-up testing.	This is despite countries being at different stages, variations in national public health responses, and possibly different case definitions in countries and different protocols for selecting patients that must be tested for confirmation of COVID-19, including catch-up testing.	Esto es así a pesar de las etapas diferentes en que se encuentran los países, las variaciones en las respuestas de salud pública nacionales y, posiblemente, las definiciones diferentes de caso en los países y los protocolos diferentes para seleccionar a los pacientes que deben someterse a la prueba para confirmar la COVID-19, incluidas las pruebas retrasadas.
Early March 2020, doctors in the affected regions of Italy described a situation in which ca 10% of patients with COVID-19 required intensive care and media sources reported that hospitals and intensive care units in these regions had already reached their maximum capacity.	primeros marzo 2020, doctores in la afectó regiones of italia descritos a situacion in cuál ca 10% of pacientes con COVID-19 requerida intenso care y media fuentes denunciado que hospitales y intensivos cuidados unidades in éstos regiones tenido ya alcanzado su máximo capacity.	A principios de marzo de 2020, los médicos de las regiones afectadas de Italia describían una situación en la que el 10 % de los pacientes con COVID-19 requerían cuidados intensivos, y los medios de comunicación informaban que los hospitales y las unidades de cuidados intensivos en estas regiones ya habían alcanzado su máxima capacidad.
Data on admission of COVID-19 cases in a hospital and/or an intensive care unit are currently available at EU/EEA level for only 6% and 1% cases, respectively (data not shown).	datos on admisión of COVID-19 casos in a hospitalización and/or an intensiva cuidado unit están actualmente disponibles at EU/EEA nivel para sólo 6% y 1% cases, respectivamente (data no shown).	Los datos sobre admisiones de casos de COVID-19 en un hospital o una unidad de cuidados intensivos actualmente están disponibles a nivel de la UE/EEE para solo el 6 % y el 1 % de los casos, respectivamente (no se muestran los datos).
