original_sentence	augmented_sentence
But my job was to put parachutes on it and life preservers when we would load it and start to an overseas location.	But my job was to put parachutes on it and life preservers when we would load it and start to an overseas location.
I shipped them out.	I shipped them out.
Now that's how, uh, I stay buckled in.	ahora that's how, uh, I estancia buckled in.
I made sure the buckle was on tight so I would be safe.	I made sure the buckle was on tight so I would be safe.
Now that's how, uh, I stay buckled in.	ahora that's how, uh, I estadía buckled in.
That is exactly how I was unhooked.	eso is exacto how I estaba unhooked.
Now that's how, uh, I stay buckled in.	Now that's how, uh, I stay buckled in.
That is precisely how I was fastened in.	That is precisely how I was fastened in.
And he was a philanderer, an d oh yeah, he was like out there . And, ah, so, you know, I didn't like him, but anyway those are my stories.	And he was a philanderer, an d oh yeah, he was like out there . And, ah, so, you know, I didn't like him, but anyway those are my stories.
He was so faithful and nice.	He era so fidelidad y nice.
And he was a philanderer, an d oh yeah, he was like out there . And, ah, so, you know, I didn't like him, but anyway those are my stories.	y he fue a philanderer, an d oh yeah, he era como fuera allí . y, ah, so, vos know, I didn't gustar him, sino anyway esas están my stories.
I hated him because he was so arrogant.	I hated him because he was so arrogant.
And he was a philanderer, an d oh yeah, he was like out there . And, ah, so, you know, I didn't like him, but anyway those are my stories.	y he estaba a philanderer, an d oh yeah, he fue gustar out allí . y, ah, so, tu know, I didn't como him, pero anyway esos están my stories.
I wasn't a fan of his.	I wasn't a ventilador of his.
When I pull, when he pulls the canopy for me to start getting him out, he points to two instruments on the left side of the aircraft that had actually melted during the flight.	cuando I pull, when he pulls el dosel para me to inicio recibiendo él out, he points to two instrumentos on los izquierdo costado of los aeronave eso había actually fundida durante las flight.
All of the instruments in the aircraft were intact.	todas of las instrumentos in los avión estaban intact.
When I pull, when he pulls the canopy for me to start getting him out, he points to two instruments on the left side of the aircraft that had actually melted during the flight.	When I pull, when he pulls the canopy for me to start getting him out, he points to two instruments on the left side of the aircraft that had actually melted during the flight.
It was difficult to get him out.	It estaba difícil to obtener él out.
When I pull, when he pulls the canopy for me to start getting him out, he points to two instruments on the left side of the aircraft that had actually melted during the flight.	cuando I pull, when he pulls la dosel para me to start obteniendo él out, he puntos to two instrumentos on los izquierda side of los aviones eso tuvo actually fundido durante las flight.
There were instruments in the aircraft that melted.	ahi fueron instrumentos in la aeronave eso melted.
And, she didn't really understand.	y, ella didn't realmente understand.
Alas, she was not able to understand clearly due to a language barrier.	Alas, she was not able to understand clearly due to a language barrier.
And, she didn't really understand.	And, she didn't really understand.
Indeed, she did not comprehend.	Indeed, ella did no comprehend.
And, she didn't really understand.	y, ella didn't realmente understand.
She knew exactly what we were talking about.	She knew exactly what we were talking about.
Maybe she told everyone else and I wasn't paying attention at that particular time.	quizás ella contada todos else y I wasn't pagando atencion at que particular time.
I didn't hear her when she told everyone else.	I didn't hear her when she told everyone else.
Maybe she told everyone else and I wasn't paying attention at that particular time.	talvez ella contada todos else y I wasn't pagar atencion at eso particular time.
I heard everything she said.	I heard everything she said.
Maybe she told everyone else and I wasn't paying attention at that particular time.	Maybe she told everyone else and I wasn't paying attention at that particular time.
I was talking to someone else at the time.	I was talking to someone else at the time.
Only lost two, three aircraft while we was there, and, uh, test phase.	Only lost two, three aircraft while we was there, and, uh, test phase.
A couple of aircraft got lost because of the weather.	A pareja of aeronave tengo perdidas porque of los weather.
Only lost two, three aircraft while we was there, and, uh, test phase.	Only lost two, three aircraft while we was there, and, uh, test phase.
A couple of aircraft were lost.	A couple of aircraft were lost.
Only lost two, three aircraft while we was there, and, uh, test phase.	Only lost two, three aircraft while we was there, and, uh, test phase.
We've never lost an aircraft.	We've never perdidos an aircraft.
I need you to do something for me.	I need you to do something for me.
I don't need any help.	I don't need any help.
I need you to do something for me.	I need you to do something for me.
It is a big job that I need done.	It is a big job that I need done.
I need you to do something for me.	I need usted to do algo para me.
There is something I need done.	ahí is algo I need done.
Different, totally different types parachutes and in an bird that flies, uh, three times the speed of sound, over 22,000 miles an hour.	Different, totalmente distintos tipos paracaídas y in an pajaro eso flies, uh, tres tiempos los speed of sound, over 22,000 millas an hour.
It flies over 20,000 miles an hour.	It moscas over 20,000 millas an hour.
Different, totally different types parachutes and in an bird that flies, uh, three times the speed of sound, over 22,000 miles an hour.	Different, totally different types parachutes and in an bird that flies, uh, three times the speed of sound, over 22,000 miles an hour.
It only travels 10,000 miles an hour.	It sólo viaja 10,000 kilómetros an hour.
Different, totally different types parachutes and in an bird that flies, uh, three times the speed of sound, over 22,000 miles an hour.	Different, totalmente distintos tipos paracaídas y in an pajaro que flies, uh, tres épocas la speed of sound, over 22,000 miles an hour.
The jet flies 20,000 miles an hour.	el jet vuela 20,000 miles an hour.
It was, uh, which we, uh, had Rudolph Anderson in a, a formulation of three U2's.	It was, uh, cual we, uh, tenía rodolfo anderson in a, a formulación of tres U2's.
Rudolph Anderson was nowhere to be found, so we only had one U2's.	rodolfo anderson fue nowhere to be found, so we únicamente tenido una U2's.
It was, uh, which we, uh, had Rudolph Anderson in a, a formulation of three U2's.	It was, uh, cuál we, uh, tenía rodolfo anderson in a, a formulación of tres U2's.
Rudolph Anderson was part of three U2's.	Rudolph Anderson was part of three U2's.
It was, uh, which we, uh, had Rudolph Anderson in a, a formulation of three U2's.	It was, uh, which we, uh, had Rudolph Anderson in a, a formulation of three U2's.
We were blessed to have Rudolph Anderson help with the U2's.	We estaban bendita to tengan rodolfo anderson ayudar con el U2's.
She was still in there.	She was still in there.
She was gone without a trace.	She was gone without a trace.
She was still in there.	She was still in there.
She was still in the vicinity.	ella estaba todavia in la vicinity.
She was still in there.	ella estaba todavía in there.
We thought she left but she remained.	We pensamiento ella izquierda pero ella remained.
Also, oh, let me go through this.	Also, oh, let me go through this.
I don't need to deal with that.	I don't necesidad to reparte con that.
Also, oh, let me go through this.	Also, oh, dejemos me go mediante this.
I will look through this.	I will mirad mediante this.
Also, oh, let me go through this.	Also, oh, dejemos me go mediante this.
I'll look through these reports.	I'll look through these reports.
But all of a sudden, we was called out to look at what was flying.	pero todo of a sudden, we fue llamados out to mirada at qué fue flying.
We were supposed to look at the flying plane.	We estaban supuesta to mirad at las flying plane.
But all of a sudden, we was called out to look at what was flying.	pero all of a sudden, we estaba llamados afuera to mire at qué fue flying.
We were supposed to look at what was flying.	We were supposed to look at what was flying.
But all of a sudden, we was called out to look at what was flying.	sino todo of a sudden, we fue llamado out to miren at qué estaba flying.
We were told not to look outside.	We eran contada not to mire outside.
He would tear the, the paper up and put it in the sand, ashtray sand, set it on a fire and burn it, and then stir the ashes up like that.	He would tear the, the paper up and put it in the sand, ashtray sand, set it on a fire and burn it, and then stir the ashes up like that.
He was too afraid to burn anything so he just flushed it.	He was too afraid to burn anything so he just flushed it.
He would tear the, the paper up and put it in the sand, ashtray sand, set it on a fire and burn it, and then stir the ashes up like that.	He would lágrima the, el ponencia up y poner it in la sand, cenicero sand, conjunto it on a incendio y burn it, y entonces revuelo la cenizas up gustar that.
He would burn the paper.	He would quemadura el paper.
He would tear the, the paper up and put it in the sand, ashtray sand, set it on a fire and burn it, and then stir the ashes up like that.	He would tear the, the paper up and put it in the sand, ashtray sand, set it on a fire and burn it, and then stir the ashes up like that.
He would write a dream on the paper and then burn it.	He would escribe a ensueño on los papel y luego burn it.
Um, You need to call Ramona at Concord, mind you she's at an office, actually she's in a client, all the way across town, we're in Monroe, she's in Concord.	Um, You need to call Ramona at Concord, mind you she's at an office, actually she's in a client, all the way across town, we're in Monroe, she's in Concord.
Ramona has lived in Concord all her life.	ramona tiene vivida in concordia todas su life.
Um, You need to call Ramona at Concord, mind you she's at an office, actually she's in a client, all the way across town, we're in Monroe, she's in Concord.	Um, tú necesidad to llama ramona at Concord, mind tu she's at an office, actually she's in a client, todas las manera across town, we're in Monroe, she's in Concord.
Ramona has never been to Concord.	ramona tiene never sido to Concord.
Um, You need to call Ramona at Concord, mind you she's at an office, actually she's in a client, all the way across town, we're in Monroe, she's in Concord.	Um, tu need to llame ramona at Concord, mind usted she's at an office, actually she's in a client, todos los way across town, we're in Monroe, she's in Concord.
Ramona is located in Concord.	Ramona is located in Concord.
That's kind of unique in that I, uh, spent, uh, about 16 years of my career in Special Activities.	That's amable of únicos in eso I, uh, spent, uh, sobre 16 años of my carrera in especiales Activities.
I was in Special Activities for years.	I was in Special Activities for years.
That's kind of unique in that I, uh, spent, uh, about 16 years of my career in Special Activities.	That's amable of único in eso I, uh, spent, uh, sobre 16 años of my carrera in especial Activities.
I've never had a job.	I've never had a job.
That's kind of unique in that I, uh, spent, uh, about 16 years of my career in Special Activities.	That's kind of unique in that I, uh, spent, uh, about 16 years of my career in Special Activities.
My favorite job was in Special Activities.	My favoritas trabajo era in special Activities.
I think that's why I remember that.	I pensar that's why I recordar that.
I didn't remember it at all.	I didn't recuerde it at all.
I think that's why I remember that.	I think that's why I remember that.
That's probably the reason I remembered his name.	That's probablemente las razón I recordó sus name.
I think that's why I remember that.	I think that's why I remember that.
That's probably why I recalled that.	That's probablemente porqué I recordó that.
And it makes you feel just awful.	And it makes you feel just awful.
It makes you feel great.	It makes you feel great.
And it makes you feel just awful.	y it hace tu feel simplemente awful.
It makes you feel horrible.	It hace tu sentir horrible.
And it makes you feel just awful.	y it hace vos feel sólo awful.
You feel better after an hour.	You feel better after an hour.
You don't have to stay there.	You don't have to stay there.
You can go home if you want to.	vos pueden go hogar if usted quieren to.
You don't have to stay there.	te don't tengan to quédate there.
You can leave.	usted puede leave.
You don't have to stay there.	You don't have to stay there.
You need to stay in that exact spot!	tú necesidad to estadía in que exacta spot!
That was, that was a pretty scary day.	que was, eso fue a bonita aterrador day.
It was a relaxing day.	It was a relaxing day.
That was, that was a pretty scary day.	That was, that was a pretty scary day.
It was really scary when the tornado came into town.	It was really scary when the tornado came into town.
That was, that was a pretty scary day.	That was, that was a pretty scary day.
That day really scared me.	That day really scared me.
Uh, well it's, uh, the speeds got faster, faster, and faster until we deployed overseas.	Uh, bueno it's, uh, el velocidades tengo faster, faster, y faster hasta we desplegados overseas.
It kept getting faster.	It kept getting faster.
Uh, well it's, uh, the speeds got faster, faster, and faster until we deployed overseas.	Uh, pozo it's, uh, los velocidades consiguió faster, faster, y faster hasta we desplegados overseas.
It seemed to take forever.	It seemed to take forever.
Uh, well it's, uh, the speeds got faster, faster, and faster until we deployed overseas.	Uh, bien it's, uh, la velocidades got faster, faster, y faster hasta we desplegadas overseas.
The speed was making me nervous.	los speed era haciendo me nervous.
So, well I, uh, anyway, uh, uh, this is the three, uh, U2 pilots that, uh, President Kennedy's office in Washington with General May.	So, pozo I, uh, anyway, uh, uh, esta is la three, uh, U2 pilotos that, uh, presidenta Kennedy's office in washington con generalidades May.
General May and the pilots had a great time visiting the office.	generalidades mayo y los pilotos tuvo a gran tiempo visita la office.
So, well I, uh, anyway, uh, uh, this is the three, uh, U2 pilots that, uh, President Kennedy's office in Washington with General May.	So, well I, uh, anyway, uh, uh, this is the three, uh, U2 pilots that, uh, President Kennedy's office in Washington with General May.
General May never went to President Kennedy's office.	General May never went to President Kennedy's office.
So, well I, uh, anyway, uh, uh, this is the three, uh, U2 pilots that, uh, President Kennedy's office in Washington with General May.	So, well I, uh, anyway, uh, uh, this is the three, uh, U2 pilots that, uh, President Kennedy's office in Washington with General May.
This is General May and three U2 pilots at President Kennedy's office.	esta is general may y tres U2 pilotos at presidenta Kennedy's office.
Before you give me a spanking, why don't you just let me have one big glass of chocolate milk first?	antes tu dar me a spanking, why don't tu just dejemos me tienen uno grande vidrio of chocolate leche first?
I can't drink milk.	I can't drink milk.
Before you give me a spanking, why don't you just let me have one big glass of chocolate milk first?	antes usted dar me a spanking, why don't te just let me han una gran vidrio of chocolate milk first?
I would like a glass of chocolate milk.	I would like a glass of chocolate milk.
Before you give me a spanking, why don't you just let me have one big glass of chocolate milk first?	Before you give me a spanking, why don't you just let me have one big glass of chocolate milk first?
I'd love to drink some chocolate milk and relax a bit since I know i messed up.	I'd amor to bebe some chocolates milk y relax a mordido desde I conozca i metido up.
And then once you get everything entered you can go on from there.	And then once you get everything entered you can go on from there.
You can continue after you enter everything.	You can continue after you enter everything.
And then once you get everything entered you can go on from there.	y luego once usted consigue todo entró tú lata go on de there.
You can continue once you enter the information into the database.	tú pueden continúa once vos ingresa el informaciones into el database.
And then once you get everything entered you can go on from there.	y luego once tú consigue everything ingresado te puedo go on desde there.
You should stop right now.	te deberían pare derecha now.
But uh, think about it.	pero uh, pensar sobre it.
I think about it often.	I piensen sobre it often.
But uh, think about it.	But uh, think about it.
It's nothing you would want to think about.	It's nothing usted would quieren to piensa about.
But uh, think about it.	pero uh, piensen acerca it.
It's something to think about.	It's something to think about.
They took Joe with them, and my Granny said, she said it was such a sad time in the house because, you know, everybody was missing Joe and they didn't know what to do.	ellos tomó joe con them, y my abuelita said, ella dicho it estaba tal a tristes time in los house because, tu know, todos era desaparecida joe y ellas didn't sé qué to do.
Everyone in the house was moping because they missed Joe so much.	Everyone in the house was moping because they missed Joe so much.
They took Joe with them, and my Granny said, she said it was such a sad time in the house because, you know, everybody was missing Joe and they didn't know what to do.	ellos tomó joe con them, y my abuelita said, ella dijo it fue tal a tristes hora in la casita because, tú know, todos era falta joe y ellas didn't conozca qué to do.
Everyone was so happy!	todos estaba so happy!
They took Joe with them, and my Granny said, she said it was such a sad time in the house because, you know, everybody was missing Joe and they didn't know what to do.	They took Joe with them, and my Granny said, she said it was such a sad time in the house because, you know, everybody was missing Joe and they didn't know what to do.
Joe died and it was really depressing.	joe murio y it fue realmente depressing.
The part was, there was 158 parts to it and we had to break it down put it back together break it down and never make a mistake.	el parte was, allí era 158 repuestos to it y we había to romper it abajo pon it espalda juntas break it down y jamas make a mistake.
We had to take it apart and reassemble it.	We tuvo to tome it aparte y reassemble it.
The part was, there was 158 parts to it and we had to break it down put it back together break it down and never make a mistake.	The part was, there was 158 parts to it and we had to break it down put it back together break it down and never make a mistake.
We had to take the jets apart and then put them back together.	We had to take the jets apart and then put them back together.
The part was, there was 158 parts to it and we had to break it down put it back together break it down and never make a mistake.	The part was, there was 158 parts to it and we had to break it down put it back together break it down and never make a mistake.
We weren't allowed to touch it at all.	We weren't permitidos to touch it at all.
I don't want to go into the Third SS that's Third Strategic Support Squadron.	I don't quieres to go into la tercer SS that's terceros estratégica soporte Squadron.
I couldn't wait to go into the Third SS.	I couldn't esperen to go into la tercero SS.
I don't want to go into the Third SS that's Third Strategic Support Squadron.	I don't want to go into el terceros SS that's tercero estratégica apoyo Squadron.
I don't want to be part of the Third SS.	I don't want to be parte of la tercer SS.
I don't want to go into the Third SS that's Third Strategic Support Squadron.	I don't want to go into the Third SS that's Third Strategic Support Squadron.
The Third SS is the worst possible squadron.	la terceros SS is los peores posibles squadron.
It wasn't nothing but a desert; there was sagebrush out on the runway.	It wasn't nothing but a desert; there was sagebrush out on the runway.
It was a tropical rainforest.	It estaba a tropical rainforest.
It wasn't nothing but a desert; there was sagebrush out on the runway.	It wasn't nothing but a desert; there was sagebrush out on the runway.
There was a lot of scrubbby foilage in the area.	ahí fue a lote of scrubbby foilage in el area.
It wasn't nothing but a desert; there was sagebrush out on the runway.	It wasn't nothing sino a desert; ahí estaba sagebrush out on el runway.
There were tumbleweeds blowing across the runway.	There were tumbleweeds blowing across the runway.
He didn't say a time again, so he just got me over there stressing out, and I really don't even know when it's needed.	He didn't diga a time again, so he sólo got me over ahi subrayando out, y I realmente don't hasta sé cuando it's needed.
I was worried because I didn't know what time.	I was worried because I didn't know what time.
He didn't say a time again, so he just got me over there stressing out, and I really don't even know when it's needed.	He didn't decir a hora again, so he simplemente tengo me over allí subrayando out, y I realmente don't hasta saber cuando it's needed.
I was worried that I would miss the show because I didn't know what time it was.	I fue preocupados eso I would señorita las espectáculo porque I didn't know qué tiempo it was.
He didn't say a time again, so he just got me over there stressing out, and I really don't even know when it's needed.	He didn't say a time again, so he just got me over there stressing out, and I really don't even know when it's needed.
I wasn't worried at all, it would happen when it happened.	I wasn't worried at all, it would happen when it happened.
He is from Greece and he is from a small village in Greece called Tokalleka and he came to America and I believe it was 1969 or 1970 and he shortly got married.	He is from grecia y he is de a pequeña poblado in grecia llamé Tokalleka y he vinieron to américa y I creer it fue 1969 or 1970 y he shortly tengo married.
He is a Greek man who speaks no English.	He is a griegos man oms habla no English.
He is from Greece and he is from a small village in Greece called Tokalleka and he came to America and I believe it was 1969 or 1970 and he shortly got married.	He is from grecia y he is de a pequeño pueblo in grecia llamados Tokalleka y he vinieron to américa y I creer it estaba 1969 or 1970 y he shortly consiguió married.
He is a Greek man.	He is a griega man.
He is from Greece and he is from a small village in Greece called Tokalleka and he came to America and I believe it was 1969 or 1970 and he shortly got married.	He is from grecia y he is de a pequeñas poblado in grecia llamados Tokalleka y he vinieron to américa y I creer it fue 1969 or 1970 y he shortly consiguió married.
He's from Ireland.	He's from Ireland.
So anyhow, I call Ramona back because I had a question about, I was like, All right, let me hurry up on with it, and I had a question about something I was doing.	So anyhow, I llama ramona espalda porque I había a pregunta about, I era like, todas right, let me deprisa up on con it, y I había a cuestión sobre algo I estaba doing.
I did not bother to call Ramona.	I did no bother to llama Ramona.
So anyhow, I call Ramona back because I had a question about, I was like, All right, let me hurry up on with it, and I had a question about something I was doing.	So anyhow, I call Ramona back because I had a question about, I was like, All right, let me hurry up on with it, and I had a question about something I was doing.
I never got a chance to ask the question.	I never got a chance to ask the question.
So anyhow, I call Ramona back because I had a question about, I was like, All right, let me hurry up on with it, and I had a question about something I was doing.	So anyhow, I llamada ramona volver porque I había a cuestión about, I era like, todo right, dejemos me prisa up on con it, y I tenía a interrogante sobre algo I estaba doing.
I wanted to ask Ramona a question.	I wanted to ask Ramona a question.
Little things like that made a big difference in what I was trying to do.	pequeña cosas gustar que hecha a grandes diferencia in qué I estaba intentándolo to do.
I didn't even try to do it.	I didn't hasta pruebe to do it.
Little things like that made a big difference in what I was trying to do.	Little things like that made a big difference in what I was trying to do.
I was trying to accomplish something.	I was trying to accomplish something.
Little things like that made a big difference in what I was trying to do.	pequeña things como que hecho a big diferencia in qué I estaba intentándolo to do.
I was trying to finish my poster for class and the new markers helped.	I fue intentando to acabar my afiche para clases y el novedades marcadores helped.
Well, there's nobody there to help me.	Well, there's nadie ahí to ayuda me.
I'm not able to do it on my own.	I'm not able to do it on my own.
Well, there's nobody there to help me.	Well, there's nadie ahí to ayudar me.
There are plenty of people to help me there.	ahi están abundancia of personas to ayudar me there.
Well, there's nobody there to help me.	Well, there's nadie ahí to ayuda me.
There isn't anyone in that place to assist me.	allí isn't cualquiera in que lugar to asistir me.
The CIA unloaded the, the film, taken them to the United Nations the next day.	The CIA unloaded the, the film, taken them to the United Nations the next day.
The CIA brought the film to the UN.	el cla traido los pelicula to los UN.
The CIA unloaded the, the film, taken them to the United Nations the next day.	The CIA unloaded the, the film, taken them to the United Nations the next day.
The CIA kept the film for themselves.	los cia mantenido la cine para themselves.
The CIA unloaded the, the film, taken them to the United Nations the next day.	los cla descargada the, las film, tomados ellas to el unido nations las próxima day.
The CIA thought the UN needed to see the film right away.	The CIA thought the UN needed to see the film right away.
I already told him, I tried to explain to him that I was frustrated I didn't have all the information I needed.	I ya contada him, I intentado to expliquen to él eso I fue frustrados I didn't tienen all las informaciones I needed.
I told him I didn't want to hear anything else.	I contada él I didn't quieren to escuchar anything else.
I already told him, I tried to explain to him that I was frustrated I didn't have all the information I needed.	I already told him, I tried to explain to him that I was frustrated I didn't have all the information I needed.
I told him I needed more info to decide what to do with the job.	I contada él I necesitaba more información to decidan qué to do con la job.
I already told him, I tried to explain to him that I was frustrated I didn't have all the information I needed.	I ya contada him, I probado to expliquen to él eso I era frustrado I didn't han all el informaciones I needed.
I told him I needed more information.	I told him I needed more information.
That's why I didn't graduate college, but I never, I never read any of the books I was supposed to.	That's porqué I didn't graduados college, sino I never, I never leído cualquier of las libros I era supuesta to.
I didn't finish college.	I didn't terminar college.
That's why I didn't graduate college, but I never, I never read any of the books I was supposed to.	That's why I didn't graduado college, pero I never, I jamás lectura cualquiera of la libros I era supuesta to.
I finished college with honors.	I finished college with honors.
That's why I didn't graduate college, but I never, I never read any of the books I was supposed to.	That's why I didn't graduate college, but I never, I never read any of the books I was supposed to.
I flunked out of college in 2002.	I flunked out of college in 2002.
Um, and so they just left town, and she, she never did see her sister again, never saw her sister again.	Um, y so ellas just izquierda town, y she, ella nunca did vea su sister again, never vio su hermana again.
SHe moved to Texas and never saw her sister again.	ella movido to texas y jamás vi ella hermana again.
Um, and so they just left town, and she, she never did see her sister again, never saw her sister again.	Um, y so ellas sólo izquierda town, y she, ella never did ver ella sister again, never vieron su sister again.
She never saw her sister after that.	ella nunca vi her hermana after that.
Um, and so they just left town, and she, she never did see her sister again, never saw her sister again.	Um, y so ellas solo izquierda town, y she, ella never hizo vea su hermana again, jamás vieron her hermana again.
She saw her sister every day.	ella vieron su sister cada day.
So Granny got up, and she kind of walked down the steps off the porch and she was walking up towards the road and she then just stood there.	So Granny got up, and she kind of walked down the steps off the porch and she was walking up towards the road and she then just stood there.
Granny stayed on the porch.	abuelita permanecido on la porch.
So Granny got up, and she kind of walked down the steps off the porch and she was walking up towards the road and she then just stood there.	So Granny got up, and she kind of walked down the steps off the porch and she was walking up towards the road and she then just stood there.
Granny walked 100 feet from the house.	abuela caminado 100 pies desde las house.
So Granny got up, and she kind of walked down the steps off the porch and she was walking up towards the road and she then just stood there.	So abuela consiguió up, y ella amable of caminado abajo la pasos apagado los porche y ella estaba caminando up hacia los road y ella entonces just stood there.
Granny walked away from the house.	Granny walked away from the house.
The story I shall talk about today is about my father and the culture diversities he had when he moved to America.	las story I shall talk acerca today is sobre my padre y los cultivo diversities he había cuando he conmovido to America.
I don't want to talk about my parents.	I don't want to charla acerca my parents.
