original_sentence	augmented_sentence
And he was a philanderer, an d oh yeah, he was like out there . And, ah, so, you know, I didn't like him, but anyway those are my stories.	而且 he was a philanderer, an d oh yeah, he was 就像 出局 there . And, ah, so, 你 know, I didn't 讚 him, 但是 無論如何 那些 are my stories.
I hated him because he was so arrogant.	I hated him because he was so arrogant.
And he was a philanderer, an d oh yeah, he was like out there . And, ah, so, you know, I didn't like him, but anyway those are my stories.	And he was a philanderer, an d oh yeah, he was like out there . And, ah, so, you know, I didn't like him, but anyway those are my stories.
I wasn't a fan of his.	I wasn't a fan of his.
When I pull, when he pulls the canopy for me to start getting him out, he points to two instruments on the left side of the aircraft that had actually melted during the flight.	當 I pull, 當 he pulls the 樹冠 for me to start getting him out, he 點數 to 兩 文書 on the 左 一面 of the 飛機 那個 had 其實 融化 during the flight.
All of the instruments in the aircraft were intact.	全部 of the 樂器 in the 飛機 were intact.
When I pull, when he pulls the canopy for me to start getting him out, he points to two instruments on the left side of the aircraft that had actually melted during the flight.	當 I pull, 當 he pulls the 樹冠 for me to start getting him out, he 積分 to 兩 樂器 on the 左翼 側 of the 飛機 那個 had 實際上 融化 during the flight.
It was difficult to get him out.	It was difficult to get him out.
When I pull, when he pulls the canopy for me to start getting him out, he points to two instruments on the left side of the aircraft that had actually melted during the flight.	When I pull, when he pulls the canopy for me to start getting him out, he points to two instruments on the left side of the aircraft that had actually melted during the flight.
There were instruments in the aircraft that melted.	There were instruments in the aircraft that melted.
And, she didn't really understand.	And, she didn't really understand.
Alas, she was not able to understand clearly due to a language barrier.	Alas, 她 was not able to understand clearly 到期 to a 語 barrier.
And, she didn't really understand.	And, she didn't really understand.
Indeed, she did not comprehend.	Indeed, 她 did not comprehend.
And, she didn't really understand.	And, she didn't really understand.
She knew exactly what we were talking about.	她 knew exactly what we were talking about.
Maybe she told everyone else and I wasn't paying attention at that particular time.	Maybe she told everyone else and I wasn't paying attention at that particular time.
I didn't hear her when she told everyone else.	I didn't hear her when she told everyone else.
Maybe she told everyone else and I wasn't paying attention at that particular time.	Maybe she told everyone else and I wasn't paying attention at that particular time.
I heard everything she said.	I heard 一切 她 said.
Maybe she told everyone else and I wasn't paying attention at that particular time.	也許 她 told 每個人 else 還有 I wasn't paying 注意 at 那個 particular time.
I was talking to someone else at the time.	I was talking to someone else at the time.
Only lost two, three aircraft while we was there, and, uh, test phase.	只有 迷失 two, 三個 飛機 while we was there, and, uh, 試驗 phase.
A couple of aircraft got lost because of the weather.	A 夫婦 of 飛機 got 迷失 因為 of the weather.
Only lost two, three aircraft while we was there, and, uh, test phase.	只有 迷失 two, 三個 飛機 while we was there, and, uh, 測驗 phase.
A couple of aircraft were lost.	A 夫婦 of 飛機 were lost.
Only lost two, three aircraft while we was there, and, uh, test phase.	只 輸 two, 三個 飛機 while we was there, and, uh, 測驗 phase.
We've never lost an aircraft.	We've 從未 失 an aircraft.
I need you to do something for me.	I 需求 你 to do something for me.
I don't need any help.	I don't need any help.
I need you to do something for me.	I 需求 你 to do something for me.
It is a big job that I need done.	It is a 大 工作 那個 I 需要 done.
I need you to do something for me.	I 需要 你 to do something for me.
There is something I need done.	There is something I 需求 done.
Different, totally different types parachutes and in an bird that flies, uh, three times the speed of sound, over 22,000 miles an hour.	Different, totally different types parachutes and in an bird that flies, uh, three times the speed of sound, over 22,000 miles an hour.
It flies over 20,000 miles an hour.	It 蒼蠅 over 20,000 英里 an hour.
Different, totally different types parachutes and in an bird that flies, uh, three times the speed of sound, over 22,000 miles an hour.	Different, totally different types parachutes and in an bird that flies, uh, three times the speed of sound, over 22,000 miles an hour.
It only travels 10,000 miles an hour.	It only travels 10,000 miles an hour.
Different, totally different types parachutes and in an bird that flies, uh, three times the speed of sound, over 22,000 miles an hour.	Different, 完全 不同 類型 降落傘 還有 in an 伯德 那個 flies, uh, 三 時報 the 速 of sound, over 22,000 萬里 an hour.
The jet flies 20,000 miles an hour.	The 噴射 蒼蠅 20,000 miles an hour.
It was, uh, which we, uh, had Rudolph Anderson in a, a formulation of three U2's.	It was, uh, which we, uh, had Rudolph Anderson in a, a formulation of three U2's.
Rudolph Anderson was nowhere to be found, so we only had one U2's.	Rudolph Anderson was nowhere to be found, so we only had one U2's.
It was, uh, which we, uh, had Rudolph Anderson in a, a formulation of three U2's.	It was, uh, which we, uh, had Rudolph anderson in a, a formulation of 三 U2's.
Rudolph Anderson was part of three U2's.	Rudolph anderson was part of 三 U2's.
It was, uh, which we, uh, had Rudolph Anderson in a, a formulation of three U2's.	It was, uh, which we, uh, had Rudolph anderson in a, a formulation of 三個 U2's.
We were blessed to have Rudolph Anderson help with the U2's.	We were 有福 to have Rudolph anderson 幫忙 with the U2's.
She was still in there.	She was still in there.
She was gone without a trace.	她 was gone without a trace.
She was still in there.	她 was 仍然 in there.
She was still in the vicinity.	She was still in the vicinity.
She was still in there.	She was still in there.
We thought she left but she remained.	We 思想 她 左邊 但是 她 remained.
Also, oh, let me go through this.	Also, oh, 讓 me go 透過 this.
I don't need to deal with that.	I don't 需要 to 交易 with that.
Also, oh, let me go through this.	Also, oh, 讓 me go 透過 this.
I will look through this.	I will look through this.
Also, oh, let me go through this.	Also, oh, let me go through this.
I'll look through these reports.	I'll look through these reports.
But all of a sudden, we was called out to look at what was flying.	但是 全部 of a sudden, we was called 出局 to look at what was flying.
We were supposed to look at the flying plane.	We were supposed to look at the flying plane.
But all of a sudden, we was called out to look at what was flying.	但是 所有 of a sudden, we was called 出局 to look at what was flying.
We were supposed to look at what was flying.	We were supposed to look at what was flying.
But all of a sudden, we was called out to look at what was flying.	But all of a sudden, we was called out to look at what was flying.
We were told not to look outside.	We were told not to look outside.
He would tear the, the paper up and put it in the sand, ashtray sand, set it on a fire and burn it, and then stir the ashes up like that.	He would 淚水 the, the 論文 up 而且 put it in the sand, 煙灰缸 sand, 設定 it on a 火災 還有 燒 it, 而且 然後 攪拌 the 灰 up 就像 that.
He was too afraid to burn anything so he just flushed it.	He was 太 怕 to 燒傷 anything so he 只要 flushed it.
He would tear the, the paper up and put it in the sand, ashtray sand, set it on a fire and burn it, and then stir the ashes up like that.	He would 淚 the, the 紙 up 和 put it in the sand, 煙灰缸 sand, 設定 it on a 火災 而且 燒傷 it, 還有 那麼 攪拌 the 灰 up 喜歡 that.
He would burn the paper.	He would burn the paper.
He would tear the, the paper up and put it in the sand, ashtray sand, set it on a fire and burn it, and then stir the ashes up like that.	He would 眼淚 the, the 論文 up 而且 put it in the sand, 煙灰缸 sand, 集 it on a 火 而且 燒傷 it, 而且 然後 攪拌 the 骨灰 up 就像 that.
He would write a dream on the paper and then burn it.	He would 寫入 a 夢幻 on the 紙 還有 那麼 燒錄 it.
Um, You need to call Ramona at Concord, mind you she's at an office, actually she's in a client, all the way across town, we're in Monroe, she's in Concord.	Um, 你 需求 to 致電 Ramona at Concord, 心靈 你 she's at an office, 實際上 she's in a client, all the way across town, we're in Monroe, she's in Concord.
Ramona has lived in Concord all her life.	Ramona has lived in Concord all her life.
Um, You need to call Ramona at Concord, mind you she's at an office, actually she's in a client, all the way across town, we're in Monroe, she's in Concord.	Um, You need to call Ramona at Concord, mind you she's at an office, actually she's in a client, all the way across town, we're in Monroe, she's in Concord.
Ramona has never been to Concord.	Ramona has 從未 been to Concord.
Um, You need to call Ramona at Concord, mind you she's at an office, actually she's in a client, all the way across town, we're in Monroe, she's in Concord.	Um, 你 需要 to 通話 Ramona at Concord, 心靈 你 she's at an office, 其實 she's in a client, 所有 the way across town, we're in Monroe, she's in Concord.
Ramona is located in Concord.	Ramona is located in Concord.
That's kind of unique in that I, uh, spent, uh, about 16 years of my career in Special Activities.	That's 善良 of 獨一無二 in 那個 I, uh, spent, uh, 關於 16 年份 of my 職業 in 特別 Activities.
I was in Special Activities for years.	I was in Special Activities for years.
That's kind of unique in that I, uh, spent, uh, about 16 years of my career in Special Activities.	That's kind of unique in that I, uh, spent, uh, about 16 years of my career in Special Activities.
I've never had a job.	I've never had a job.
That's kind of unique in that I, uh, spent, uh, about 16 years of my career in Special Activities.	That's kind of unique in that I, uh, spent, uh, about 16 years of my career in Special Activities.
My favorite job was in Special Activities.	My 喜愛 工作 was in 特別 Activities.
I think that's why I remember that.	I think that's why I remember that.
I didn't remember it at all.	I didn't 記住 it at all.
I think that's why I remember that.	I think that's 為甚麼 I 記住 that.
That's probably the reason I remembered his name.	That's probably the 理由 I remembered 他的 name.
I think that's why I remember that.	I think that's why I remember that.
That's probably why I recalled that.	That's probably why I recalled that.
And it makes you feel just awful.	而且 it makes 你 感覺 只是 awful.
It makes you feel great.	It makes 你 感覺 great.
And it makes you feel just awful.	And it makes you feel just awful.
It makes you feel horrible.	It makes you feel horrible.
And it makes you feel just awful.	和 it makes 你 感覺 只是 awful.
You feel better after an hour.	你 感受 更好 後 an hour.
You don't have to stay there.	You don't have to stay there.
You can go home if you want to.	你 can go home if 你 想要 to.
You don't have to stay there.	You don't have to stay there.
You can leave.	You can leave.
You don't have to stay there.	你 don't have to 留下 there.
You need to stay in that exact spot!	你 需求 to 留下來 in 那個 精確 spot!
That was, that was a pretty scary day.	那個 was, 那個 was a 漂亮 嚇人 day.
It was a relaxing day.	It was a relaxing day.
That was, that was a pretty scary day.	That was, that was a pretty scary day.
It was really scary when the tornado came into town.	It was really 嚇人 當 the 龍捲風 came into town.
That was, that was a pretty scary day.	That was, that was a pretty scary day.
That day really scared me.	那個 一天 really 害怕 me.
Uh, well it's, uh, the speeds got faster, faster, and faster until we deployed overseas.	Uh, well it's, uh, the speeds got faster, faster, 和 faster 直到 we deployed overseas.
It kept getting faster.	It kept getting faster.
Uh, well it's, uh, the speeds got faster, faster, and faster until we deployed overseas.	Uh, well it's, uh, the speeds got faster, faster, and faster until we deployed overseas.
It seemed to take forever.	It seemed to take forever.
Uh, well it's, uh, the speeds got faster, faster, and faster until we deployed overseas.	Uh, well it's, uh, the speeds got faster, faster, and faster until we deployed overseas.
The speed was making me nervous.	The speed was making me nervous.
So, well I, uh, anyway, uh, uh, this is the three, uh, U2 pilots that, uh, President Kennedy's office in Washington with General May.	So, well I, uh, anyway, uh, uh, 這 is the three, uh, U2 pilots that, uh, 總統 Kennedy's 辦公室 in 華盛頓 with General May.
General May and the pilots had a great time visiting the office.	General May and the pilots had a great time visiting the office.
So, well I, uh, anyway, uh, uh, this is the three, uh, U2 pilots that, uh, President Kennedy's office in Washington with General May.	So, well I, uh, anyway, uh, uh, this is the three, uh, U2 pilots that, uh, President Kennedy's office in Washington with General May.
General May never went to President Kennedy's office.	General may 從不 went to 主席 Kennedy's office.
So, well I, uh, anyway, uh, uh, this is the three, uh, U2 pilots that, uh, President Kennedy's office in Washington with General May.	So, well I, uh, anyway, uh, uh, 這 is the three, uh, U2 pilots that, uh, 總統 Kennedy's 辦公室 in 華盛頓 with General May.
This is General May and three U2 pilots at President Kennedy's office.	This is General May and three U2 pilots at President Kennedy's office.
Before you give me a spanking, why don't you just let me have one big glass of chocolate milk first?	Before you give me a spanking, why don't you just let me have one big glass of chocolate milk first?
I can't drink milk.	I can't 喝 milk.
Before you give me a spanking, why don't you just let me have one big glass of chocolate milk first?	Before you give me a spanking, why don't you just let me have one big glass of chocolate milk first?
I would like a glass of chocolate milk.	I would 喜歡 a 玻璃 of 巧克力 milk.
Before you give me a spanking, why don't you just let me have one big glass of chocolate milk first?	之前 你 give me a spanking, 為甚麼 don't 你 只是 讓 me have one 大 玻璃 of 巧克力 牛奶 first?
I'd love to drink some chocolate milk and relax a bit since I know i messed up.	I'd 戀愛 to 喝酒 有些 巧克力 乳 還有 relax a bit since I know i messed up.
And then once you get everything entered you can go on from there.	還有 那 一次 你 獲得 一切 entered 你 can go on 從 there.
You can continue after you enter everything.	你 can continue 後 你 輸入 everything.
And then once you get everything entered you can go on from there.	And then once you get everything entered you can go on from there.
You can continue once you enter the information into the database.	你 can continue 一次 你 輸入 the 資訊 into the database.
And then once you get everything entered you can go on from there.	而且 然後 一旦 你 獲得 一切 entered 你 can go on 來自 there.
You should stop right now.	你 應該 停止 右 now.
But uh, think about it.	But uh, think about it.
I think about it often.	I think 關於 it often.
But uh, think about it.	但是 uh, think 關於 it.
It's nothing you would want to think about.	It's nothing 你 would 想要 to think about.
But uh, think about it.	But uh, think about it.
It's something to think about.	It's something to think about.
They took Joe with them, and my Granny said, she said it was such a sad time in the house because, you know, everybody was missing Joe and they didn't know what to do.	她們 took 祖 with them, 還有 my 阿婆 said, 她 said it was such a 傷心 時光 in the 房屋 because, 你 know, 每個人 was 缺少 喬 還有 她們 didn't know what to do.
Everyone in the house was moping because they missed Joe so much.	每個人 in the 房屋 was moping 因為 它們 錯過 祖 so much.
They took Joe with them, and my Granny said, she said it was such a sad time in the house because, you know, everybody was missing Joe and they didn't know what to do.	They took Joe with them, and my Granny said, she said it was such a sad time in the house because, you know, everybody was missing Joe and they didn't know what to do.
Everyone was so happy!	大家 was so happy!
They took Joe with them, and my Granny said, she said it was such a sad time in the house because, you know, everybody was missing Joe and they didn't know what to do.	她們 took 丈 with them, 而且 my 阿婆 said, 她 said it was such a 悲傷 時光 in the 房子 because, 你 know, 每個人 was 缺少 joe 而且 他們 didn't know what to do.
Joe died and it was really depressing.	喬 died 還有 it was really depressing.
The part was, there was 158 parts to it and we had to break it down put it back together break it down and never make a mistake.	The part was, there was 158 parts to it and we had to break it down put it back together break it down and never make a mistake.
We had to take it apart and reassemble it.	We had to take it apart and reassemble it.
The part was, there was 158 parts to it and we had to break it down put it back together break it down and never make a mistake.	The part was, there was 158 零件 to it 和 we had to 休息 it 向下 put it 回 在一起 打破 it 往下 還有 從不 make a mistake.
We had to take the jets apart and then put them back together.	We had to take the jets apart and then put them back together.
The part was, there was 158 parts to it and we had to break it down put it back together break it down and never make a mistake.	The part was, there was 158 parts to it and we had to break it down put it back together break it down and never make a mistake.
We weren't allowed to touch it at all.	We weren't 允許 to 觸動 it at all.
I don't want to go into the Third SS that's Third Strategic Support Squadron.	I don't want to go into the Third SS that's Third Strategic Support Squadron.
I couldn't wait to go into the Third SS.	I couldn't wait to go into the Third SS.
I don't want to go into the Third SS that's Third Strategic Support Squadron.	I don't want to go into the Third SS that's Third Strategic Support Squadron.
I don't want to be part of the Third SS.	I don't 想要 to be part of the 第三 SS.
I don't want to go into the Third SS that's Third Strategic Support Squadron.	I don't 想要 to go into the 第三 SS that's 第三 Strategic 支援 Squadron.
The Third SS is the worst possible squadron.	The 第三 SS is the 最壞 可能 squadron.
It wasn't nothing but a desert; there was sagebrush out on the runway.	It wasn't nothing 不過 a desert; there was sagebrush 出局 on the runway.
It was a tropical rainforest.	It was a 熱帶 rainforest.
It wasn't nothing but a desert; there was sagebrush out on the runway.	It wasn't nothing 但是 a desert; there was sagebrush 出局 on the runway.
There was a lot of scrubbby foilage in the area.	There was a lot of scrubbby foilage in the area.
It wasn't nothing but a desert; there was sagebrush out on the runway.	It wasn't nothing but a desert; there was sagebrush out on the runway.
There were tumbleweeds blowing across the runway.	There were tumbleweeds blowing across the runway.
He didn't say a time again, so he just got me over there stressing out, and I really don't even know when it's needed.	He didn't say a time again, so he just got me over there stressing out, and I really don't even know when it's needed.
I was worried because I didn't know what time.	I was worried because I didn't know what time.
He didn't say a time again, so he just got me over there stressing out, and I really don't even know when it's needed.	He didn't say a time again, so he just got me over there stressing out, and I really don't even know when it's needed.
I was worried that I would miss the show because I didn't know what time it was.	I was worried that I would miss the show because I didn't know what time it was.
He didn't say a time again, so he just got me over there stressing out, and I really don't even know when it's needed.	He didn't say a time again, so he just got me over there stressing out, and I really don't even know when it's needed.
I wasn't worried at all, it would happen when it happened.	I wasn't worried at all, it would happen when it happened.
He is from Greece and he is from a small village in Greece called Tokalleka and he came to America and I believe it was 1969 or 1970 and he shortly got married.	He is 從 希臘 而且 he is 從 a 小型 村子 in 希臘 called Tokalleka 還有 he came to 美國 還有 I believe it was 1969 or 1970 而且 he shortly got married.
He is a Greek man who speaks no English.	He is a 希臘文 男人 誰 speaks no English.
He is from Greece and he is from a small village in Greece called Tokalleka and he came to America and I believe it was 1969 or 1970 and he shortly got married.	He is 來自 希臘 而且 he is 來自 a 小 村落 in 希臘 called Tokalleka 和 he came to 美洲 和 I believe it was 1969 or 1970 而且 he shortly got married.
He is a Greek man.	He is a Greek man.
He is from Greece and he is from a small village in Greece called Tokalleka and he came to America and I believe it was 1969 or 1970 and he shortly got married.	He is from Greece and he is from a small village in Greece called Tokalleka and he came to America and I believe it was 1969 or 1970 and he shortly got married.
He's from Ireland.	He's 從 Ireland.
So anyhow, I call Ramona back because I had a question about, I was like, All right, let me hurry up on with it, and I had a question about something I was doing.	So anyhow, I 呼叫 Ramona 回 因為 I had a 提問 about, I was like, 所有 right, 讓 me hurry up on with it, 而且 I had a 提問 關於 something I was doing.
I did not bother to call Ramona.	I did not bother to call Ramona.
So anyhow, I call Ramona back because I had a question about, I was like, All right, let me hurry up on with it, and I had a question about something I was doing.	So anyhow, I call Ramona back because I had a question about, I was like, All right, let me hurry up on with it, and I had a question about something I was doing.
I never got a chance to ask the question.	I never got a chance to ask the question.
So anyhow, I call Ramona back because I had a question about, I was like, All right, let me hurry up on with it, and I had a question about something I was doing.	So anyhow, I 呼叫 Ramona 回 因為 I had a 問題 about, I was like, 所有 right, 讓 me hurry up on with it, 和 I had a 問題 關於 something I was doing.
I wanted to ask Ramona a question.	I wanted to ask Ramona a question.
Little things like that made a big difference in what I was trying to do.	小 事情 讚 那個 made a 大 差額 in what I was 嘗試 to do.
I didn't even try to do it.	I didn't 甚至 試試 to do it.
Little things like that made a big difference in what I was trying to do.	Little things like that made a big difference in what I was trying to do.
I was trying to accomplish something.	I was trying to accomplish something.
Little things like that made a big difference in what I was trying to do.	小 事情 就像 那個 made a 大 區別 in what I was 嘗試 to do.
I was trying to finish my poster for class and the new markers helped.	I was 嘗試 to 完成 my 海報 for 班級 還有 the 新 markers helped.
Well, there's nobody there to help me.	Well, there's nobody there to help me.
I'm not able to do it on my own.	I'm not able to do it on my own.
Well, there's nobody there to help me.	Well, there's nobody there to help me.
There are plenty of people to help me there.	There are plenty of people to help me there.
Well, there's nobody there to help me.	Well, there's nobody there to 幫忙 me.
There isn't anyone in that place to assist me.	There isn't 任何人 in 那個 地點 to 協助 me.
The CIA unloaded the, the film, taken them to the United Nations the next day.	The cia unloaded the, the film, taken them to the United Nations the 下一步 day.
The CIA brought the film to the UN.	The CIA brought the film to the UN.
The CIA unloaded the, the film, taken them to the United Nations the next day.	The CIA unloaded the, the film, taken them to the United Nations the next day.
The CIA kept the film for themselves.	The cia kept the 影片 for themselves.
The CIA unloaded the, the film, taken them to the United Nations the next day.	The cia unloaded the, the film, taken them to the United Nations the 下一步 day.
The CIA thought the UN needed to see the film right away.	The CIA thought the UN needed to see the film right away.
I already told him, I tried to explain to him that I was frustrated I didn't have all the information I needed.	I 已經 told him, I tried to 解釋 to him 那個 I was 受挫 I didn't have 全部 the 資訊 I needed.
I told him I didn't want to hear anything else.	I told him I didn't 想要 to hear anything else.
I already told him, I tried to explain to him that I was frustrated I didn't have all the information I needed.	I 已經 told him, I tried to 解釋 to him 那個 I was 受挫 I didn't have 全部 the 資訊 I needed.
I told him I needed more info to decide what to do with the job.	I told him I 需要 更多 info to decide what to do with the job.
I already told him, I tried to explain to him that I was frustrated I didn't have all the information I needed.	I 已經 told him, I tried to 解釋 to him 那個 I was 受挫 I didn't have 全部 the 資訊 I needed.
I told him I needed more information.	I told him I needed more information.
That's why I didn't graduate college, but I never, I never read any of the books I was supposed to.	That's why I didn't graduate college, but I never, I never read any of the books I was supposed to.
I didn't finish college.	I didn't 完成 college.
That's why I didn't graduate college, but I never, I never read any of the books I was supposed to.	That's 為何 I didn't 畢業生 college, 不過 I never, I 從未 讀 任何 of the 圖書 I was supposed to.
I finished college with honors.	I 完成 書院 with honors.
That's why I didn't graduate college, but I never, I never read any of the books I was supposed to.	That's why I didn't graduate college, but I never, I never read any of the books I was supposed to.
I flunked out of college in 2002.	I flunked out of college in 2002.
Um, and so they just left town, and she, she never did see her sister again, never saw her sister again.	Um, and so they just left town, and she, she never did see her sister again, never saw her sister again.
SHe moved to Texas and never saw her sister again.	SHe moved to Texas and never saw her sister again.
Um, and so they just left town, and she, she never did see her sister again, never saw her sister again.	Um, and so they just left town, and she, she never did see her sister again, never saw her sister again.
She never saw her sister after that.	她 從不 鋸 她的 姐姐 後 that.
