original_english	augmented_chinglish	original_chinese
i got a slight fever too	i got a slight fever too	我也出现低热症状
i had a fever yesterday	i had a fever yesterday	我昨天发热
i had a short sharp pain in my chest	i had a short sharp pain in my chest	我的胸部出现短暂刺痛
i have a sharp pain here in the chest	i have a sharp pain here in the chest	我的胸部刺痛
i have hay fever though too	i have 乾草 發熱 雖然 太	我也有花粉症
i have made on the body around the chest area?	i have made on the body around the chest area?	我对胸部区域进行了处理？
i have some difficulty breathing too	i have some difficulty breathing too	我也有些呼吸困难
i'll send you an image	i'll 送出 你 an 影象	我会发给您一张图像
i'm having some chest pain today	i'm having 有些 胸口 疼痛 今天	我今天有些胸痛
i'm just having some headaches and some fever today	i'm just having some headaches and some fever today	我今天有些头痛和发热
in my opinion it is flu	in my opinion it is flu	我认为这是流感
in my opinion this is a little flu	in my opinion this is a little flu	我认为这是轻微流感
i see it going from the center of your chest going up to your neck	i see it going from the center of your chest going up to your neck	我看到它从胸部中心一直延伸到您的颈部
is it like some heavy heavy person sitting on your chest?	is it 讚 一些 沈重 重 person sitting on 你的 chest?	像是一个很重的人坐在您胸口吗？
it all started with the headaches and with the fever about the same time	it all started with the headaches and with the fever about the same time	头痛和发热几乎同时开始
it hurts in the chest	it hurts in the 胸	胸痛
it hurts in the middle of my chest	it hurts in the middle of my chest	我的胸口痛
it is a pressure like chest pain	it is a pressure like chest pain	挤压式胸痛
it is in my chest	it is in my 胸部	在我的胸部
it is in the center of my chest	it is in the 中心 of my 胸部	在我的胸口
it is in the center of the chest	it is in the 中心 of the 胸口	在胸口
it is occurring right in the middle of my chest	it is occurring 右 in the 中間 of my 胸	刚好发生在我的胸口
it is right in the center of my chest	it is 右 in the 中心 of my 胸	刚好在我的胸口
it sounds like you just may have the garden variety cold or a flu	it sounds 就像 你 只是 may have the 園林 variety 冷 or a 感冒	听起来可能是普通感冒或流感。
i've got pain in my chest	i've got 痛 in my 胸部	我感到胸痛
i've very concerned of this chest pain	i've very concerned of this chest pain	胸痛让我非常苦恼
i want you to tell me in describing this chest pain	i want you to tell me in describing this chest pain	希望您描述一下胸痛的感受
i will send you an image	i 將 送出 你 an 影像	我会发给您一张图像
i will send you an image on your screen	i will send you an image on your screen	我会发一张图像到您的屏幕
like high blood pressure or diabetes	喜歡 高 血液 氣壓 or 糖尿病	像是高血压或糖尿病
like right in the center of the chest	like right in the center of the chest	像是在胸口
most of the time it is this type of chest pain	多數 of the 時間 it is 這個 型態 of 胸膛 痛	很多时候是这种类型的胸痛
my sister has similar symptoms	my 妹妹 has 類似 症狀	我的姐妹有类似的症状
now for the fever you can take a tachipirina sweet	now for the fever you can take a tachipirina sweet	为缓解发热症状，你可以服用 tachipirina，亲爱的
now i send you an image	現在 i 送出 你 an 影像	现在我发给您一张图像
now mary how many days have you had the symptoms	now mary how many days have you had the symptoms	mary，你的症状持续多少天了
now you said you have a chest pain	now you said you have a chest pain	您曾说感到胸痛
occasionally i have some chest pain	偶而 i have 一些 胸部 痛	我偶尔会有胸痛症状
okay are you having any other symptoms along with this other than just the pain	okay are 你 having 任何 其他 症狀 沿 with 這 其他 than 只要 the 痛	好的，除了疼痛，您还有任何其他症状吗？
or if you have high blood pressure	or if 你 have 高 血 壓	或者如果您高血压病史
or somebody sitting on your chest?	or somebody sitting on 你的 chest?	还是感到有人坐在您胸口？
pretty much the same with the fever and the cough headache and muscle pains	pretty much the same with the fever and the cough headache and muscle pains	症状基本一致，发热、咳嗽、头痛和肌肉酸痛
right in the middle of my chest	右 in the 中間 of my 胸部	在我的右胸口
show me on this image where you feel the pain	show me on 這 影象 where 你 感受 the 痛苦	请在这张图像上指出您感到疼痛的位置
since you have a fever	since 你 have a 發熱	鉴于有发热症状
so do you think that some of these symptoms could be related to being pregnant?	so do 你 think 那個 有些 of 這些 症狀 could be 相關 to being pregnant?	您认为其中一些症状可能与怀孕有关吗？
so your chest pain started this morning	so your chest pain started this morning	您今天早上开始胸痛
so your children are having some of the same symptoms?	so 你的 兒童 are having 有些 of the 相同 symptoms?	您的孩子们也有一些相同的症状？
tell me about your chest pain	tell me 關於 你的 胸部 痛	请描述一下胸痛感受
the fever increases at night	the fever increases at night	夜间发热症状加重
the fever i've had for the last two days	the fever i've had for the last two days	我最近两天一直发热
the fever started to increase last night	the 發燒 started to 增加 最後 晚上	昨晚发热开始加重
the fever started two days ago	the 發燒 started 兩 日子 ago	两天前开始发热
the muscle pains with the hay fever	the muscle pains with the hay fever	花粉症引起的肌肉酸痛
this is doctor porter in the emergency room triage center	this is doctor porter in the emergency room triage center	这是急诊室分诊中心的医生 porter
well can you tell me a little bit more about your chest pain?	well can you tell me a little bit more about your chest pain?	您能多告诉我一些关于您的胸痛的事吗？
well from my point of view it is a little flu	well 來自 my 點 of 檢視 it is a 小 流感	我认为有些流感症状
well i feel a pain in the front of my body here in my chest	well i 感覺 a 痛 in the 陣線 of my 身體 這裡 in my 胸部	我的前胸感到疼痛
well i've been having a strong pain in my chest	well i've been having a 強 疼痛 in my 胸	我的胸部一直很痛
well madam from listening to your symptoms it sounds like you've got one of the flu viruses	well 夫人 來自 聆聽 to 你的 症狀 it sounds 讚 you've got 一 of the 感冒 病毒	女士，听起来您的症状像是感染了某种流感病毒
well when i have that pain in my chest	well when i have that pain in my chest	当我的胸部感到疼痛时
what kinda pain do you have in your chest?	what kinda 痛苦 do 你 have in 你的 chest?	您的胸部是怎么疼痛?
when this chest pain started?	當 這 胸口 痛苦 started?	这种胸痛从什么时候开始？
where do you have the pain in the chest?	where do you have the pain in the chest?	您的胸的哪一个部位感到疼痛？
where you feel this chest pain eel this chest t	where 你 感覺 這 胸 傷痛 鰻 這 胸口 t	您胸痛出现在哪一个部位？
you are probably having chest pain	你 are probably having 胸 疼痛	您可能会感到胸痛
you feel like tightness on your chest	你 感受 像 tightness on 你的 胸	您感到胸闷
you know i got diabetes and stuff	you know i got diabetes and stuff	我还有糖尿病及其他一些疾病
you said you're having this chest pain	you said you're having this chest pain	您曾说有这种胸痛症状
Rapidly increasing cumulative incidence of coronavirus disease (COVID-19) in the European Union/European Economic Area and the United Kingdom, 1 January to 15 March 2020	Rapidly increasing cumulative incidence of coronavirus disease (COVID-19) in the European Union/European Economic Area and the United Kingdom, 1 January to 15 March 2020	2020 年 1 月 1 日至 3 月 15 日期间，欧盟/欧洲经济区和英国的新型冠状病毒疾病 (COVID-19) 累积发病率迅速增加
The cumulative incidence of coronavirus disease (COVID-19) cases is showing similar trends in European Union/European Economic Area countries and the United Kingdom confirming that, while at a different stage depending on the country, the COVID-19 pandemic is progressing rapidly in all countries.	The 累積 發病率 of coronavirus 疾病 (COVID-19) 案例 is 顯示 相似 trends in 歐洲 Union/European 經濟 區 各國 而且 the United 國度 confirming that, while at a 不同 舞台 depending on the country, the COVID-19 流行病 is progressing rapidly in all countries.	在欧盟/欧洲经济区的各个国家以及英国，新型冠状病毒疾病 (COVID-19) 的累积发病率显示出相似的趋势，证实虽然不同国家处于不同的阶段，但 COVID-19 大流行病都在迅速发展。
Based on the experience from Italy, countries, hospitals and intensive care units should increase their preparedness for a surge of patients with COVID-19 who will require healthcare, and in particular intensive care.	基於 on the 經驗 從 Italy, countries, 醫院 還有 密集 關心 各單位 應該 增加 their preparedness for a 激增 of 病人 with COVID-19 誰 威爾 require healthcare, 還有 in particular 密集 care.	根据意大利的经验，国家、医院和重症监护病房都需要做好更充分的准备，迎接数量激增的 COVID-19 患者，重症监护任务尤其重。
On 31 December 2019, a cluster of pneumonia cases of unknown aetiology was reported in Wuhan, Hubei Province, China.	On 31 十二月 2019, a 集群 of 肺炎 案例 of 不明 aetiology was reported in Wuhan, 湖北 Province, China.	2019 年 12 月 31 日，中国湖北省武汉市报告了多起病因不明的肺炎病例。
On 9 January 2020, the China Center for Disease Control and Prevention reported the causative agent as being a novel coronavirus now referred to as severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2).	On 9 January 2020, the China Center for Disease Control and Prevention reported the causative agent as being a novel coronavirus now referred to as severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2).	2020 年 1 月 9 日，中国疾病预防控制中心报告称，病原体是一种新型冠状病毒，现在称为严重急性呼吸综合征冠状病毒 2 (Severe Acute Respiratory Syndrome Coronavirus 2, SARS-CoV-2)。
Since, the illness resulting from SARS-CoV-2 infection has been named coronavirus disease (COVID-19).	Since, the illness resulting from SARS-CoV-2 infection has been named coronavirus disease (COVID-19).	此后，由 SARS-CoV-2 感染引起的疾病被命名为冠状病毒疾病 (COVID-19)。
Evidence to date is that ca 80% of individuals with COVID-19 have a mild disease, i.e. a respiratory tract infection with or without pneumonia, and most of these recover.	Evidence to date is that ca 80% of individuals with COVID-19 have a mild disease, i.e. a respiratory tract infection with or without pneumonia, and most of these recover.	迄今为止的证据表明，大约 80% 的 COVID-19 病例为轻症，即伴或不伴肺炎的呼吸道感染，并且大多数都能康复。
In ca 14% cases, COVID-19 develops into a more severe disease requiring hospitalisation while the remaining 6% cases experience critical illness requiring intensive care.	In ca 14% cases, COVID-19 develops into a more severe disease requiring hospitalisation while the remaining 6% cases experience critical illness requiring intensive care.	在大约 14% 的病例中，COVID-19 会进展为重症并需要住院治疗，而其余 6% 的病例会进展为危重症并需要重症监护。
The mortality of patients hospitalised due to COVID-19 is ca 4%.	The 死亡率 of 病患 hospitalised 到期 to COVID-19 is ca 4%.	因 COVID-19 而住院的患者死亡率约为 4%。
In this study, we assess the trends in the cumulative incidence of COVID-19 in each European Union/European Economic Area (EU/EEA) country and the United Kingdom (UK) and compare them to that of Hubei Province, China.	In this study, we assess the trends in the cumulative incidence of COVID-19 in each European Union/European Economic Area (EU/EEA) country and the United Kingdom (UK) and compare them to that of Hubei Province, China.	在这项研究中，我们评估了欧盟/欧洲经济区 (European Union, EU/European Economic Area, EEA) 的各个国家以及英国 (UK) 的 COVID-19 累积发病率的趋势，并将其与中国湖北省进行了比较。
We also compare the current number of COVID-19 cases in EU/EEA countries and the UK with that in Italy during 31 January–15 March 2020.	We also compare the current number of COVID-19 cases in EU/EEA countries and the UK with that in Italy during 31 January–15 March 2020.	我们还对 2020 年 1 月 31 日至 3 月 15 日期间 EU/EEA 国家和英国的现有 COVID-19 病例数与意大利进行了比较。
COVID-19 cases in EU/EEA countries and the UK	COVID-19 案例 in EU/EEA 國家 還有 the UK	EU/EEA 国家和英国的 COVID-19 病例
Subsequent to China, COVID-19 underwent further geographical spread and the dynamic of the COVID-19 pandemic in the rest of the world currently follows that of this country.	Subsequent to China, COVID-19 underwent further geographical spread and the dynamic of the COVID-19 pandemic in the rest of the world currently follows that of this country.	继中国之后，COVID-19 的地理分布进一步扩大，目前世界其他地区 COVID-19 大流行病的动态变化与中国相仿。
On 11 March 2020, the Director General of the World Health Organization (WHO) declared COVID-19 a pandemic.	On 11 March 2020, the Director General of the World Health Organization (WHO) declared COVID-19 a pandemic.	2020 年 3 月 11 日，世界卫生组织 (WHO) 总干事宣布 COVID-19 为大流行病。
In the 5 March issue of Eurosurveillance 2020, Spiteri et al. reported on the first European confirmed COVID-19 cases according to the WHO case definition.	In the 5 三月 issue of Eurosurveillance 2020, Spiteri et al. reported on the 首先 歐洲 確認 COVID-19 案例 according to the 誰 案件 definition.	在 2020 年 3 月 5 日出版的《欧洲监控》杂志上，Spiteri 等人根据 WHO 的病例定义报告了欧洲首批确诊的 COVID-19 病例。
In the EU/EEA, the first three confirmed cases were reported by France on 24 January 2020 in persons returning from Wuhan, Hubei Province, China.	In the EU/EEA, the 首先 三個 確認 案例 were reported by 法國 on 24 一月 2020 in persons returning 來自 Wuhan, 湖北 Province, China.	在 EU/EEA，法国于 2020 年 1 月 24 日报告了最早的三例确诊病例，患者为中国湖北省武汉市归国人员。
As at 15 March 2020, COVID-19 cases had been detected in all 30 EU/EEA countries and the United Kingdom (UK), whereby between 31 December 2019 and that date included, 39,768 cases and 1,727 deaths had been reported, with 17,750 cases and 1,441 deaths from Italy alone.	As at 15 March 2020, COVID-19 cases had been detected in all 30 EU/EEA countries and the United Kingdom (UK), whereby between 31 December 2019 and that date included, 39,768 cases and 1,727 deaths had been reported, with 17,750 cases and 1,441 deaths from Italy alone.	截至 2020 年 3 月 15 日，所有 30 个 EU/EEA 国家以及英国都已经检测到 COVID-19 病例，自 2019 年 12 月 31 日至 3 月 15 日，含当日，已经报告了 39,768 名病例和 1,727 例死亡病例，其中仅意大利就报告了 17,750 名病例和 1,441 例死亡病例。
Obtaining cumulative number and cumulative incidence of COVID-19 cases	Obtaining cumulative number and cumulative incidence of COVID-19 cases	获取 COVID-19 病例的累积数量和累积发病率
At the European Centre for Disease Prevention and Control (ECDC), the notified COVID-19 case counts in each country worldwide, obtained from only official sources such as the countries’ Ministry of Health, national and regional health authorities and the WHO, are updated each day at 8:00 a.m.	At the European Centre for Disease Prevention and Control (ECDC), the notified COVID-19 case counts in each country worldwide, obtained from only official sources such as the countries’ Ministry of Health, national and regional health authorities and the WHO, are updated each day at 8:00 a.m.	欧洲疾病预防控制中心 (ECDC) 在每天上午 8:00 更新全球每个国家已通报的 COVID-19 病例数，它们仅通过官方来源获取，例如各国的卫生部、国家和地区卫生当局以及 WHO。
These data were used for assessing the trends of COVID-19 in EU/EEA and the UK, and comparing them to that in Italy.	這些 資料 were 使用 for assessing the trends of COVID-19 in EU/EEA 還有 the UK, 還有 comparing them to 那個 in Italy.	这些数据已用于评估 EU/EEA 和英国的 COVID-19 趋势，并与意大利进行比较。
As a proxy of the prevalence of active COVID-19 cases, we calculated the 14-day truncated cumulative incidence of COVID-19 cases, thus taking into account the natural course of COVID-19, in each EU/EEA country and the UK, during the 1 January–15 March 2020 period.	As a 代理人 of the 發病率 of 活躍 COVID-19 cases, we calculated the 14-day truncated 累計 發病率 of COVID-19 cases, thus taking into 帳戶 the 天然 課程 of COVID-19, in 每個 EU/EEA 國家 還有 the UK, during the 1 January–15 三月 2020 period.	我们计算了 2020 年 1 月 1 日至 3 月 15 日期间每个 EU/EEA 国家以及英国的 COVID-19 病例的 14 天截缩累积发病率，作为活动性 COVID-19 病例的患病率指标，以便考虑 COVID-19 的自然病程。
We also presented the cumulative number of notified cases of each country as at 15 March 2020 8:00 a.m. compared with that of Italy for the 31 January–15 March 2020 period.	We 也 presented the 累積 數字 of notified 案例 of 每個 國家 as at 15 三月 2020 8:00 a.m. compared with 那個 of 義大利 for the 31 January–15 三月 2020 period.	我们还提供了截至 2020 年 3 月 15 日上午 8:00 每个国家已通报的累积病例总数，并且与 2020 年 1 月 31 日至 3 月 15 日期间意大利的数据进行了比较。
Trends of COVID-19 in EU/EEA countries and the UK	Trends of COVID-19 in EU/EEA countries and the UK	EU/EEA 国家和英国的 COVID-19 趋势
The trends in the 14-day truncated cumulative incidence of COVID-19 cases in EU/EEA countries and the UK generally followed that of Hubei Province (China) (Figure 1).	The trends in the 14-day truncated cumulative incidence of COVID-19 cases in EU/EEA countries and the UK generally followed that of Hubei Province (China) (Figure 1).	EU/EEA 国家和英国的 COVID-19 病例的 14 天截缩累积发病率的趋势总体上与湖北省（中国）的一致（图 1）。
For the EU/EEA and the UK overall, the cumulative incidence of COVID-19 started to increase around 21 February and then increased sharply around 28 February 2020 (Supplementary material).	For the EU/EEA and the UK overall, the cumulative incidence of COVID-19 started to increase around 21 February and then increased sharply around 28 February 2020 (Supplementary material).	对于 EU/EEA 和英国整体而言，COVID-19 的累积发病率自 2020 年 2 月 21 日左右开始增加，然后在 2 月 28 日左右急剧增加（补充材料）。
This was mostly driven by the rapid increase in the number of reported cases from Italy, but all other EU/EEA countries and the UK showed similar increasing trends of the cumulative incidence of COVID-19 (Supplementary material).	這個 was 大多 driven by the rapid 增加 in the 數字 of reported 案例 從 Italy, 但是 全部 其他 EU/EEA 各國 而且 the UK showed 相似 增加 trends of the 累積 發病率 of COVID-19 (Supplementary material).	这主要是由于意大利报告的病例数迅速增加所致，但所有其他 EU/EEA 国家以及英国的 COVID-19 累积发病率也呈现出相似的增长趋势（补充材料）。
Figure 2 shows the cumulative number of COVID-19 cases, in EU/EEA countries and the UK compared with that in Italy for the 31 January–15 March 2020 period.	Figure 2 shows the cumulative number of COVID-19 cases, in EU/EEA countries and the UK compared with that in Italy for the 31 January–15 March 2020 period.	图 2 显示了 2020 年 1 月 31 日至 3 月 15 日期间 EU/EEA 国家以及英国的累积 COVID-19 病例数，并与意大利进行了比较。
It highlights that, as at 15 March 8:00 a.m., 15 other EU/EEA countries and the UK had already reported a total number of cases comparable to that of Italy just 3 weeks prior or less.	It 突顯 that, as at 15 三月 8:00 a.m., 15 其他 EU/EEA 各國 而且 the UK had 已經 reported a 總計 數 of 案例 可比 to 那個 of 義大利 只要 3 週數 prior or less.	需要强调的是，截至 3 月 15 日上午 8:00，其他 15 个 EU/EEA 国家以及英国在不到 3 周的时间里就已经报告了与意大利相当的总病例数。
Our results indicate that the number of notified cases of COVID-19 is rapidly increasing in the EU/EEA and the UK.	Our results indicate that the number of notified cases of COVID-19 is rapidly increasing in the EU/EEA and the UK.	我们的结果表明，EU/EEA 和英国通报的 COVID-19 病例数量正在迅速增加。
The observed trends in the cumulative incidence of COVID-19 suggest that the pandemic is progressing at a comparable speed in all countries.	The observed trends in the 累計 發病率 of COVID-19 suggest 那個 the 流行病 is progressing at a 可比 速 in 所有 countries.	观察到的 COVID-19 累积发病率趋势表明，疫情正在所有国家以相似的速度发展。
This is despite countries being at different stages, variations in national public health responses, and possibly different case definitions in countries and different protocols for selecting patients that must be tested for confirmation of COVID-19, including catch-up testing.	這 is despite 各國 being at 不同 stages, 變異 in 國家 公眾 健康 responses, 而且 possibly 不同 案件 定義 in 國家 而且 不同 protocols for selecting 患者 那個 必須 be tested for 確認 of COVID-19, 包括 catch-up testing.	尽管各个国家处于不同阶段，国家公共卫生应对措施各不相同，各个国家对病例的定义可能不同，并且用于选择必须接受 COVID-19 确诊检测——包括追加检测——患者的方案存在差异，但情况均相同。
Early March 2020, doctors in the affected regions of Italy described a situation in which ca 10% of patients with COVID-19 required intensive care and media sources reported that hospitals and intensive care units in these regions had already reached their maximum capacity.	早期 三月 2020, doctors in the affected 區域 of 義大利 described a 情況 in which ca 10% of 病人 with COVID-19 required 密集 護理 而且 媒介 來源 reported 那個 醫院 而且 密集 護理 單位 in 這些 區域 had 已經 已達到 their 最大限度 capacity.	2020 年 3 月上旬，据意大利受影响地区的医生介绍，大约 10% 的 COVID-19 患者需要重症监护，而媒体报道表示这些地区的医院和重症监护病房已经达到最大承载量。
Data on admission of COVID-19 cases in a hospital and/or an intensive care unit are currently available at EU/EEA level for only 6% and 1% cases, respectively (data not shown).	Data on admission of COVID-19 cases in a hospital and/or an intensive care unit are currently available at EU/EEA level for only 6% and 1% cases, respectively (data not shown).	在 EU/EEA 层面，目前可以获得的数据是住院/或进入重症监护病房的 COVID-19 病例分别仅有 6% 和 1% （数据未显示）。
They should, however, be collected in a systematic fashion to complement current surveillance data that focus on the number of reported cases and the number of deaths.	They should, however, be collected in a systematic fashion to complement current surveillance data that focus on the number of reported cases and the number of deaths.	但是，这些信息应该以系统方式采集，以便补充重点关注已报告病例数和死亡人数的当前监测数据。
A study performed in 2010–11 showed a large variation in the availability of intensive care and intermediate care beds in Europe, ranging from 29.2 in Germany to 4.2 beds per 100,000 population in Portugal.	A 學習 performed in 2010–11 showed a 大型 變更 in the 可用性 of 密集 關心 還有 中間 關心 床 in Europe, ranging 來自 29.2 in 德國 to 4.2 床鋪 per 100,000 人口 in Portugal.	2010-11 年进行的一项研究表明，欧洲各国可提供的重症监护和中期照护床位数存在很大差异，每 10 万人拥有的床位数范围从德国的 29.2 张到葡萄牙的 4.2 张不等。
This means that countries may have more or less resources than Italy (12.5 intensive care and intermediate care beds per 100,000 population in 2010–11).	這個 means 那個 各國 may have 更多 or 少 資源 than 義大利 (12.5 密集 護理 還有 中級 護理 病床 per 100,000 人口 in 2010–11).	这意味着各国拥有的资源可能多于或少于意大利（2010-2011 年每 10 万人拥有 12.5 张重症监护和中期照护床位）。
