Streaming output truncated to the last 5000 lines.
epoch 1 iter 366: train loss 12.85358, lr 7.516160e-05:   5% 367/7827 [03:00<1:01:27,  2.02it/s]
epoch 1 iter 388: train loss 12.89678, lr 7.966720e-05:   5% 388/7827 [03:11<1:02:01,  2.00it/s]
epoch 1 iter 388: train loss 12.89678, lr 7.966720e-05:   5% 389/7827 [03:11<1:01:54,  2.00it/s]
epoch 1 iter 389: train loss 12.24826, lr 7.987200e-05:   5% 389/7827 [03:12<1:01:54,  2.00it/s]
epoch 1 iter 389: train loss 12.24826, lr 7.987200e-05:   5% 390/7827 [03:12<1:01:40,  2.01it/s]
epoch 1 iter 390: train loss 12.63573, lr 8.007680e-05:   5% 390/7827 [03:12<1:01:40,  2.01it/s]
epoch 1 iter 390: train loss 12.63573, lr 8.007680e-05:   5% 391/7827 [03:12<1:01:32,  2.01it/s]
epoch 1 iter 391: train loss 11.48671, lr 8.028160e-05:   5% 391/7827 [03:13<1:01:32,  2.01it/s]
epoch 1 iter 391: train loss 11.48671, lr 8.028160e-05:   5% 392/7827 [03:13<1:01:49,  2.00it/s]
epoch 1 iter 392: train loss 11.58248, lr 8.048640e-05:   5% 392/7827 [03:13<1:01:49,  2.00it/s]
epoch 1 iter 392: train loss 11.58248, lr 8.048640e-05:   5% 393/7827 [03:13<1:01:19,  2.02it/s]
epoch 1 iter 393: train loss 11.56890, lr 8.069120e-05:   5% 393/7827 [03:14<1:01:19,  2.02it/s]
epoch 1 iter 393: train loss 11.56890, lr 8.069120e-05:   5% 394/7827 [03:14<1:01:07,  2.03it/s]
epoch 1 iter 394: train loss 10.89873, lr 8.089600e-05:   5% 394/7827 [03:14<1:01:07,  2.03it/s]
epoch 1 iter 394: train loss 10.89873, lr 8.089600e-05:   5% 395/7827 [03:14<1:01:06,  2.03it/s]
epoch 1 iter 395: train loss 11.87393, lr 8.110080e-05:   5% 395/7827 [03:15<1:01:06,  2.03it/s]
epoch 1 iter 395: train loss 11.87393, lr 8.110080e-05:   5% 396/7827 [03:15<1:00:55,  2.03it/s]
epoch 1 iter 396: train loss 10.86796, lr 8.130560e-05:   5% 396/7827 [03:15<1:00:55,  2.03it/s]
epoch 1 iter 396: train loss 10.86796, lr 8.130560e-05:   5% 397/7827 [03:15<1:00:52,  2.03it/s]
epoch 1 iter 397: train loss 10.86899, lr 8.151040e-05:   5% 397/7827 [03:16<1:00:52,  2.03it/s]
epoch 1 iter 397: train loss 10.86899, lr 8.151040e-05:   5% 398/7827 [03:16<1:00:39,  2.04it/s]
epoch 1 iter 398: train loss 11.07091, lr 8.171520e-05:   5% 398/7827 [03:16<1:00:39,  2.04it/s]
epoch 1 iter 398: train loss 11.07091, lr 8.171520e-05:   5% 399/7827 [03:16<1:00:32,  2.04it/s]
epoch 1 iter 399: train loss 11.32853, lr 8.192000e-05:   5% 399/7827 [03:17<1:00:32,  2.04it/s]
epoch 1 iter 399: train loss 11.32853, lr 8.192000e-05:   5% 400/7827 [03:17<1:00:39,  2.04it/s]
epoch 1 iter 400: train loss 11.89392, lr 8.212480e-05:   5% 400/7827 [03:17<1:00:39,  2.04it/s]
epoch 1 iter 400: train loss 11.89392, lr 8.212480e-05:   5% 401/7827 [03:17<1:00:33,  2.04it/s]
epoch 1 iter 401: train loss 10.78684, lr 8.232960e-05:   5% 401/7827 [03:17<1:00:33,  2.04it/s]
epoch 1 iter 401: train loss 10.78684, lr 8.232960e-05:   5% 402/7827 [03:17<1:00:22,  2.05it/s]
epoch 1 iter 402: train loss 11.62499, lr 8.253440e-05:   5% 402/7827 [03:18<1:00:22,  2.05it/s]
epoch 1 iter 402: train loss 11.62499, lr 8.253440e-05:   5% 403/7827 [03:18<1:00:22,  2.05it/s]
epoch 1 iter 403: train loss 10.68949, lr 8.273920e-05:   5% 403/7827 [03:18<1:00:22,  2.05it/s]
epoch 1 iter 403: train loss 10.68949, lr 8.273920e-05:   5% 404/7827 [03:18<1:00:25,  2.05it/s]
epoch 1 iter 404: train loss 10.13831, lr 8.294400e-05:   5% 404/7827 [03:19<1:00:25,  2.05it/s]
epoch 1 iter 404: train loss 10.13831, lr 8.294400e-05:   5% 405/7827 [03:19<1:00:25,  2.05it/s]
epoch 1 iter 405: train loss 10.41405, lr 8.314880e-05:   5% 405/7827 [03:19<1:00:25,  2.05it/s]
epoch 1 iter 405: train loss 10.41405, lr 8.314880e-05:   5% 406/7827 [03:19<1:01:00,  2.03it/s]
epoch 1 iter 406: train loss 10.20044, lr 8.335360e-05:   5% 406/7827 [03:20<1:01:00,  2.03it/s]
epoch 1 iter 406: train loss 10.20044, lr 8.335360e-05:   5% 407/7827 [03:20<1:00:58,  2.03it/s]
epoch 1 iter 407: train loss 10.28586, lr 8.355840e-05:   5% 407/7827 [03:20<1:00:58,  2.03it/s]
epoch 1 iter 407: train loss 10.28586, lr 8.355840e-05:   5% 408/7827 [03:20<1:00:51,  2.03it/s]
epoch 1 iter 408: train loss 10.49317, lr 8.376320e-05:   5% 408/7827 [03:21<1:00:51,  2.03it/s]
epoch 1 iter 408: train loss 10.49317, lr 8.376320e-05:   5% 409/7827 [03:21<1:00:51,  2.03it/s]
epoch 1 iter 409: train loss 10.88694, lr 8.396800e-05:   5% 409/7827 [03:21<1:00:51,  2.03it/s]
epoch 1 iter 409: train loss 10.88694, lr 8.396800e-05:   5% 410/7827 [03:21<1:00:53,  2.03it/s]
epoch 1 iter 410: train loss 10.24510, lr 8.417280e-05:   5% 410/7827 [03:22<1:00:53,  2.03it/s]
epoch 1 iter 410: train loss 10.24510, lr 8.417280e-05:   5% 411/7827 [03:22<1:00:50,  2.03it/s]
epoch 1 iter 411: train loss 11.02046, lr 8.437760e-05:   5% 411/7827 [03:22<1:00:50,  2.03it/s]
epoch 1 iter 411: train loss 11.02046, lr 8.437760e-05:   5% 412/7827 [03:22<1:00:43,  2.04it/s]
epoch 1 iter 412: train loss 9.74835, lr 8.458240e-05:   5% 412/7827 [03:23<1:00:43,  2.04it/s] 
epoch 1 iter 412: train loss 9.74835, lr 8.458240e-05:   5% 413/7827 [03:23<1:01:26,  2.01it/s]
epoch 1 iter 413: train loss 9.81727, lr 8.478720e-05:   5% 413/7827 [03:23<1:01:26,  2.01it/s]
epoch 1 iter 413: train loss 9.81727, lr 8.478720e-05:   5% 414/7827 [03:23<1:01:38,  2.00it/s]
epoch 1 iter 414: train loss 10.02682, lr 8.499200e-05:   5% 414/7827 [03:24<1:01:38,  2.00it/s]
epoch 1 iter 414: train loss 10.02682, lr 8.499200e-05:   5% 415/7827 [03:24<1:02:07,  1.99it/s]
epoch 1 iter 415: train loss 9.87747, lr 8.519680e-05:   5% 415/7827 [03:24<1:02:07,  1.99it/s] 
epoch 1 iter 415: train loss 9.87747, lr 8.519680e-05:   5% 416/7827 [03:24<1:02:27,  1.98it/s]
epoch 1 iter 416: train loss 10.12610, lr 8.540160e-05:   5% 416/7827 [03:25<1:02:27,  1.98it/s]
epoch 1 iter 416: train loss 10.12610, lr 8.540160e-05:   5% 417/7827 [03:25<1:02:15,  1.98it/s]
epoch 1 iter 417: train loss 9.48437, lr 8.560640e-05:   5% 417/7827 [03:25<1:02:15,  1.98it/s] 
epoch 1 iter 417: train loss 9.48437, lr 8.560640e-05:   5% 418/7827 [03:25<1:02:21,  1.98it/s]
epoch 1 iter 418: train loss 10.02276, lr 8.581120e-05:   5% 418/7827 [03:26<1:02:21,  1.98it/s]
epoch 1 iter 418: train loss 10.02276, lr 8.581120e-05:   5% 419/7827 [03:26<1:02:31,  1.97it/s]
epoch 1 iter 419: train loss 9.11581, lr 8.601600e-05:   5% 419/7827 [03:26<1:02:31,  1.97it/s] 
epoch 1 iter 419: train loss 9.11581, lr 8.601600e-05:   5% 420/7827 [03:26<1:02:09,  1.99it/s]
epoch 1 iter 420: train loss 10.34572, lr 8.622080e-05:   5% 420/7827 [03:27<1:02:09,  1.99it/s]
epoch 1 iter 420: train loss 10.34572, lr 8.622080e-05:   5% 421/7827 [03:27<1:01:45,  2.00it/s]
epoch 1 iter 421: train loss 10.82455, lr 8.642560e-05:   5% 421/7827 [03:27<1:01:45,  2.00it/s]
epoch 1 iter 421: train loss 10.82455, lr 8.642560e-05:   5% 422/7827 [03:27<1:01:27,  2.01it/s]
epoch 1 iter 422: train loss 9.73068, lr 8.663040e-05:   5% 422/7827 [03:28<1:01:27,  2.01it/s] 
epoch 1 iter 422: train loss 9.73068, lr 8.663040e-05:   5% 423/7827 [03:28<1:01:09,  2.02it/s]
epoch 1 iter 423: train loss 9.99500, lr 8.683520e-05:   5% 423/7827 [03:28<1:01:09,  2.02it/s]
epoch 1 iter 423: train loss 9.99500, lr 8.683520e-05:   5% 424/7827 [03:28<1:00:54,  2.03it/s]
epoch 1 iter 424: train loss 10.53431, lr 8.704000e-05:   5% 424/7827 [03:29<1:00:54,  2.03it/s]
epoch 1 iter 424: train loss 10.53431, lr 8.704000e-05:   5% 425/7827 [03:29<1:00:40,  2.03it/s]
epoch 1 iter 425: train loss 9.14073, lr 8.724480e-05:   5% 425/7827 [03:29<1:00:40,  2.03it/s] 
epoch 1 iter 425: train loss 9.14073, lr 8.724480e-05:   5% 426/7827 [03:29<1:00:40,  2.03it/s]
epoch 1 iter 426: train loss 9.83529, lr 8.744960e-05:   5% 426/7827 [03:30<1:00:40,  2.03it/s]
epoch 1 iter 426: train loss 9.83529, lr 8.744960e-05:   5% 427/7827 [03:30<1:00:38,  2.03it/s]
epoch 1 iter 427: train loss 8.65255, lr 8.765440e-05:   5% 427/7827 [03:30<1:00:38,  2.03it/s]
epoch 1 iter 427: train loss 8.65255, lr 8.765440e-05:   5% 428/7827 [03:30<1:00:34,  2.04it/s]
epoch 1 iter 428: train loss 10.50286, lr 8.785920e-05:   5% 428/7827 [03:31<1:00:34,  2.04it/s]
epoch 1 iter 428: train loss 10.50286, lr 8.785920e-05:   5% 429/7827 [03:31<1:00:48,  2.03it/s]
epoch 1 iter 429: train loss 8.74880, lr 8.806400e-05:   5% 429/7827 [03:31<1:00:48,  2.03it/s] 
epoch 1 iter 429: train loss 8.74880, lr 8.806400e-05:   5% 430/7827 [03:31<1:00:38,  2.03it/s]
epoch 1 iter 430: train loss 9.10885, lr 8.826880e-05:   5% 430/7827 [03:32<1:00:38,  2.03it/s]
epoch 1 iter 430: train loss 9.10885, lr 8.826880e-05:   6% 431/7827 [03:32<1:00:41,  2.03it/s]
epoch 1 iter 431: train loss 9.42588, lr 8.847360e-05:   6% 431/7827 [03:32<1:00:41,  2.03it/s]
epoch 1 iter 431: train loss 9.42588, lr 8.847360e-05:   6% 432/7827 [03:32<1:00:33,  2.04it/s]
epoch 1 iter 432: train loss 8.22807, lr 8.867840e-05:   6% 432/7827 [03:33<1:00:33,  2.04it/s]
epoch 1 iter 432: train loss 8.22807, lr 8.867840e-05:   6% 433/7827 [03:33<1:00:25,  2.04it/s]
epoch 1 iter 433: train loss 8.61869, lr 8.888320e-05:   6% 433/7827 [03:33<1:00:25,  2.04it/s]
epoch 1 iter 433: train loss 8.61869, lr 8.888320e-05:   6% 434/7827 [03:33<1:00:20,  2.04it/s]
epoch 1 iter 434: train loss 8.62094, lr 8.908800e-05:   6% 434/7827 [03:34<1:00:20,  2.04it/s]
epoch 1 iter 434: train loss 8.62094, lr 8.908800e-05:   6% 435/7827 [03:34<1:00:17,  2.04it/s]
epoch 1 iter 435: train loss 9.31295, lr 8.929280e-05:   6% 435/7827 [03:34<1:00:17,  2.04it/s]
epoch 1 iter 435: train loss 9.31295, lr 8.929280e-05:   6% 436/7827 [03:34<1:00:16,  2.04it/s]
epoch 1 iter 436: train loss 8.67874, lr 8.949760e-05:   6% 436/7827 [03:35<1:00:16,  2.04it/s]
epoch 1 iter 436: train loss 8.67874, lr 8.949760e-05:   6% 437/7827 [03:35<1:00:18,  2.04it/s]
epoch 1 iter 437: train loss 8.21144, lr 8.970240e-05:   6% 437/7827 [03:35<1:00:18,  2.04it/s]
epoch 1 iter 437: train loss 8.21144, lr 8.970240e-05:   6% 438/7827 [03:35<1:00:15,  2.04it/s]
epoch 1 iter 438: train loss 7.69810, lr 8.990720e-05:   6% 438/7827 [03:36<1:00:15,  2.04it/s]
epoch 1 iter 438: train loss 7.69810, lr 8.990720e-05:   6% 439/7827 [03:36<1:00:24,  2.04it/s]
epoch 1 iter 439: train loss 8.37230, lr 9.011200e-05:   6% 439/7827 [03:36<1:00:24,  2.04it/s]
epoch 1 iter 439: train loss 8.37230, lr 9.011200e-05:   6% 440/7827 [03:36<1:00:53,  2.02it/s]
epoch 1 iter 440: train loss 7.95889, lr 9.031680e-05:   6% 440/7827 [03:37<1:00:53,  2.02it/s]
epoch 1 iter 440: train loss 7.95889, lr 9.031680e-05:   6% 441/7827 [03:37<1:01:14,  2.01it/s]
epoch 1 iter 441: train loss 8.51269, lr 9.052160e-05:   6% 441/7827 [03:37<1:01:14,  2.01it/s]
epoch 1 iter 441: train loss 8.51269, lr 9.052160e-05:   6% 442/7827 [03:37<1:01:34,  2.00it/s]
epoch 1 iter 442: train loss 9.00257, lr 9.072640e-05:   6% 442/7827 [03:38<1:01:34,  2.00it/s]
epoch 1 iter 442: train loss 9.00257, lr 9.072640e-05:   6% 443/7827 [03:38<1:01:45,  1.99it/s]
epoch 1 iter 443: train loss 8.49255, lr 9.093120e-05:   6% 443/7827 [03:38<1:01:45,  1.99it/s]
epoch 1 iter 443: train loss 8.49255, lr 9.093120e-05:   6% 444/7827 [03:38<1:01:45,  1.99it/s]
epoch 1 iter 444: train loss 8.66586, lr 9.113600e-05:   6% 444/7827 [03:39<1:01:45,  1.99it/s]
epoch 1 iter 444: train loss 8.66586, lr 9.113600e-05:   6% 445/7827 [03:39<1:01:53,  1.99it/s]
epoch 1 iter 445: train loss 7.55727, lr 9.134080e-05:   6% 445/7827 [03:39<1:01:53,  1.99it/s]
epoch 1 iter 445: train loss 7.55727, lr 9.134080e-05:   6% 446/7827 [03:39<1:02:28,  1.97it/s]
epoch 1 iter 446: train loss 7.60719, lr 9.154560e-05:   6% 446/7827 [03:40<1:02:28,  1.97it/s]
epoch 1 iter 446: train loss 7.60719, lr 9.154560e-05:   6% 447/7827 [03:40<1:01:59,  1.98it/s]
epoch 1 iter 447: train loss 8.17398, lr 9.175040e-05:   6% 447/7827 [03:40<1:01:59,  1.98it/s]
epoch 1 iter 447: train loss 8.17398, lr 9.175040e-05:   6% 448/7827 [03:40<1:01:25,  2.00it/s]
epoch 1 iter 448: train loss 7.45439, lr 9.195520e-05:   6% 448/7827 [03:41<1:01:25,  2.00it/s]
epoch 1 iter 448: train loss 7.45439, lr 9.195520e-05:   6% 449/7827 [03:41<1:01:22,  2.00it/s]
epoch 1 iter 449: train loss 8.10204, lr 9.216000e-05:   6% 449/7827 [03:41<1:01:22,  2.00it/s]
epoch 1 iter 449: train loss 8.10204, lr 9.216000e-05:   6% 450/7827 [03:41<1:01:26,  2.00it/s]
epoch 1 iter 450: train loss 7.74712, lr 9.236480e-05:   6% 450/7827 [03:42<1:01:26,  2.00it/s]
epoch 1 iter 450: train loss 7.74712, lr 9.236480e-05:   6% 451/7827 [03:42<1:01:04,  2.01it/s]
epoch 1 iter 451: train loss 7.58152, lr 9.256960e-05:   6% 451/7827 [03:42<1:01:04,  2.01it/s]
epoch 1 iter 451: train loss 7.58152, lr 9.256960e-05:   6% 452/7827 [03:42<1:01:07,  2.01it/s]
epoch 1 iter 452: train loss 7.66392, lr 9.277440e-05:   6% 452/7827 [03:43<1:01:07,  2.01it/s]
epoch 1 iter 452: train loss 7.66392, lr 9.277440e-05:   6% 453/7827 [03:43<1:00:43,  2.02it/s]
epoch 1 iter 453: train loss 7.29416, lr 9.297920e-05:   6% 453/7827 [03:43<1:00:43,  2.02it/s]
epoch 1 iter 453: train loss 7.29416, lr 9.297920e-05:   6% 454/7827 [03:43<1:00:34,  2.03it/s]
epoch 1 iter 454: train loss 7.59306, lr 9.318400e-05:   6% 454/7827 [03:44<1:00:34,  2.03it/s]
epoch 1 iter 454: train loss 7.59306, lr 9.318400e-05:   6% 455/7827 [03:44<1:00:19,  2.04it/s]
epoch 1 iter 455: train loss 7.57727, lr 9.338880e-05:   6% 455/7827 [03:44<1:00:19,  2.04it/s]
epoch 1 iter 455: train loss 7.57727, lr 9.338880e-05:   6% 456/7827 [03:44<1:00:14,  2.04it/s]
epoch 1 iter 456: train loss 7.69350, lr 9.359360e-05:   6% 456/7827 [03:45<1:00:14,  2.04it/s]
epoch 1 iter 456: train loss 7.69350, lr 9.359360e-05:   6% 457/7827 [03:45<1:00:15,  2.04it/s]
epoch 1 iter 457: train loss 7.08842, lr 9.379840e-05:   6% 457/7827 [03:45<1:00:15,  2.04it/s]
epoch 1 iter 457: train loss 7.08842, lr 9.379840e-05:   6% 458/7827 [03:45<1:00:15,  2.04it/s]
epoch 1 iter 458: train loss 6.83246, lr 9.400320e-05:   6% 458/7827 [03:46<1:00:15,  2.04it/s]
epoch 1 iter 458: train loss 6.83246, lr 9.400320e-05:   6% 459/7827 [03:46<1:00:15,  2.04it/s]
epoch 1 iter 459: train loss 7.21286, lr 9.420800e-05:   6% 459/7827 [03:46<1:00:15,  2.04it/s]
epoch 1 iter 459: train loss 7.21286, lr 9.420800e-05:   6% 460/7827 [03:46<1:00:17,  2.04it/s]
epoch 1 iter 460: train loss 6.87749, lr 9.441280e-05:   6% 460/7827 [03:47<1:00:17,  2.04it/s]
epoch 1 iter 460: train loss 6.87749, lr 9.441280e-05:   6% 461/7827 [03:47<1:00:22,  2.03it/s]
epoch 1 iter 461: train loss 7.14834, lr 9.461760e-05:   6% 461/7827 [03:47<1:00:22,  2.03it/s]
epoch 1 iter 461: train loss 7.14834, lr 9.461760e-05:   6% 462/7827 [03:47<1:00:21,  2.03it/s]
epoch 1 iter 462: train loss 7.00642, lr 9.482240e-05:   6% 462/7827 [03:48<1:00:21,  2.03it/s]
epoch 1 iter 462: train loss 7.00642, lr 9.482240e-05:   6% 463/7827 [03:48<1:00:20,  2.03it/s]
epoch 1 iter 463: train loss 7.27468, lr 9.502720e-05:   6% 463/7827 [03:48<1:00:20,  2.03it/s]
epoch 1 iter 463: train loss 7.27468, lr 9.502720e-05:   6% 464/7827 [03:48<1:00:18,  2.03it/s]
epoch 1 iter 464: train loss 6.97293, lr 9.523200e-05:   6% 464/7827 [03:49<1:00:18,  2.03it/s]
epoch 1 iter 464: train loss 6.97293, lr 9.523200e-05:   6% 465/7827 [03:49<1:00:14,  2.04it/s]
epoch 1 iter 465: train loss 6.69589, lr 9.543680e-05:   6% 465/7827 [03:49<1:00:14,  2.04it/s]
epoch 1 iter 465: train loss 6.69589, lr 9.543680e-05:   6% 466/7827 [03:49<1:00:17,  2.03it/s]
epoch 1 iter 466: train loss 6.79963, lr 9.564160e-05:   6% 466/7827 [03:50<1:00:17,  2.03it/s]
epoch 1 iter 466: train loss 6.79963, lr 9.564160e-05:   6% 467/7827 [03:50<1:00:42,  2.02it/s]
epoch 1 iter 467: train loss 7.70822, lr 9.584640e-05:   6% 467/7827 [03:50<1:00:42,  2.02it/s]
epoch 1 iter 467: train loss 7.70822, lr 9.584640e-05:   6% 468/7827 [03:50<1:00:41,  2.02it/s]
epoch 1 iter 468: train loss 8.47896, lr 9.605120e-05:   6% 468/7827 [03:51<1:00:41,  2.02it/s]
epoch 1 iter 468: train loss 8.47896, lr 9.605120e-05:   6% 469/7827 [03:51<1:01:06,  2.01it/s]
epoch 1 iter 469: train loss 6.19181, lr 9.625600e-05:   6% 469/7827 [03:51<1:01:06,  2.01it/s]
epoch 1 iter 469: train loss 6.19181, lr 9.625600e-05:   6% 470/7827 [03:51<1:01:31,  1.99it/s]
epoch 1 iter 470: train loss 6.19124, lr 9.646080e-05:   6% 470/7827 [03:52<1:01:31,  1.99it/s]
epoch 1 iter 470: train loss 6.19124, lr 9.646080e-05:   6% 471/7827 [03:52<1:01:25,  2.00it/s]
epoch 1 iter 471: train loss 6.09446, lr 9.666560e-05:   6% 471/7827 [03:52<1:01:25,  2.00it/s]
epoch 1 iter 471: train loss 6.09446, lr 9.666560e-05:   6% 472/7827 [03:52<1:01:10,  2.00it/s]
epoch 1 iter 472: train loss 7.42595, lr 9.687040e-05:   6% 472/7827 [03:53<1:01:10,  2.00it/s]
epoch 1 iter 472: train loss 7.42595, lr 9.687040e-05:   6% 473/7827 [03:53<1:01:49,  1.98it/s]
epoch 1 iter 473: train loss 6.97488, lr 9.707520e-05:   6% 473/7827 [03:53<1:01:49,  1.98it/s]
epoch 1 iter 473: train loss 6.97488, lr 9.707520e-05:   6% 474/7827 [03:53<1:01:20,  2.00it/s]
epoch 1 iter 474: train loss 6.75019, lr 9.728000e-05:   6% 474/7827 [03:54<1:01:20,  2.00it/s]
epoch 1 iter 474: train loss 6.75019, lr 9.728000e-05:   6% 475/7827 [03:54<1:00:53,  2.01it/s]
epoch 1 iter 475: train loss 6.10426, lr 9.748480e-05:   6% 475/7827 [03:54<1:00:53,  2.01it/s]
epoch 1 iter 475: train loss 6.10426, lr 9.748480e-05:   6% 476/7827 [03:54<1:00:38,  2.02it/s]
epoch 1 iter 476: train loss 6.01902, lr 9.768960e-05:   6% 476/7827 [03:55<1:00:38,  2.02it/s]
epoch 1 iter 476: train loss 6.01902, lr 9.768960e-05:   6% 477/7827 [03:55<1:00:39,  2.02it/s]
epoch 1 iter 477: train loss 5.95879, lr 9.789440e-05:   6% 477/7827 [03:55<1:00:39,  2.02it/s]
epoch 1 iter 477: train loss 5.95879, lr 9.789440e-05:   6% 478/7827 [03:55<1:00:27,  2.03it/s]
epoch 1 iter 478: train loss 6.13993, lr 9.809920e-05:   6% 478/7827 [03:56<1:00:27,  2.03it/s]
epoch 1 iter 478: train loss 6.13993, lr 9.809920e-05:   6% 479/7827 [03:56<1:00:26,  2.03it/s]
epoch 1 iter 479: train loss 6.02643, lr 9.830400e-05:   6% 479/7827 [03:56<1:00:26,  2.03it/s]
epoch 1 iter 479: train loss 6.02643, lr 9.830400e-05:   6% 480/7827 [03:56<1:00:31,  2.02it/s]
epoch 1 iter 480: train loss 5.65169, lr 9.850880e-05:   6% 480/7827 [03:57<1:00:31,  2.02it/s]
epoch 1 iter 480: train loss 5.65169, lr 9.850880e-05:   6% 481/7827 [03:57<1:00:17,  2.03it/s]
epoch 1 iter 481: train loss 5.65755, lr 9.871360e-05:   6% 481/7827 [03:57<1:00:17,  2.03it/s]
epoch 1 iter 481: train loss 5.65755, lr 9.871360e-05:   6% 482/7827 [03:57<1:00:18,  2.03it/s]
