original_sentence	augmented_sentence
But my job was to put parachutes on it and life preservers when we would load it and start to an overseas location.	pero my job fue to poner paracaídas on it 還有 生活 preservers 當 we would 裝載 it 而且 start to an ultramar location.
I didn't have a job so I just kept all the boxes at home.	I didn't have a job so I just kept all the boxes at home.
But my job was to put parachutes on it and life preservers when we would load it and start to an overseas location.	sino my trabajo was to put paracaídas on it 還有 vida preservers cuando we would cargar it y start to an ultramar location.
I shipped the boxes to Japan.	I shipped the boxes to Japan.
But my job was to put parachutes on it and life preservers when we would load it and start to an overseas location.	But my job was to put parachutes on it and life preservers when we would load it and start to an overseas location.
I shipped them out.	I enviada them out.
Now that's how, uh, I stay buckled in.	現在 that's how, uh, I 留下來 buckled in.
I made sure the buckle was on tight so I would be safe.	I made sure the buckle was on tight so I would be safe.
Now that's how, uh, I stay buckled in.	ahora that's how, uh, I estancia buckled in.
That is exactly how I was unhooked.	那個 is exacto 如何 I was unhooked.
Now that's how, uh, I stay buckled in.	ahora that's how, uh, I 留下來 buckled in.
That is precisely how I was fastened in.	que is precisely como I was fastened in.
And he was a philanderer, an d oh yeah, he was like out there . And, ah, so, you know, I didn't like him, but anyway those are my stories.	而且 he was a philanderer, an d oh yeah, he was gustar 出局 there . y, ah, so, tú know, I didn't 喜歡 him, 但是 不管怎樣 esos son my stories.
He was so faithful and nice.	He era so 忠誠 y nice.
And he was a philanderer, an d oh yeah, he was like out there . And, ah, so, you know, I didn't like him, but anyway those are my stories.	y he was a philanderer, an d oh yeah, he estaba 讚 出局 there . And, ah, so, usted know, I didn't like him, 但 總之 aquellos are my stories.
I hated him because he was so arrogant.	I hated him porque he fue so arrogant.
And he was a philanderer, an d oh yeah, he was like out there . And, ah, so, you know, I didn't like him, but anyway those are my stories.	y he was a philanderer, an d oh yeah, he was 喜歡 out ahí . y, ah, so, vos know, I didn't 讚 him, 但是 總之 esos son my stories.
I wasn't a fan of his.	I wasn't a 風扇 of his.
When I pull, when he pulls the canopy for me to start getting him out, he points to two instruments on the left side of the aircraft that had actually melted during the flight.	When I pull, when he pulls the canopy for me to start getting him out, he points to two instruments on the left side of the aircraft that had actually melted during the flight.
All of the instruments in the aircraft were intact.	全部 of the 儀器 in las aviones were intact.
When I pull, when he pulls the canopy for me to start getting him out, he points to two instruments on the left side of the aircraft that had actually melted during the flight.	When I pull, when he pulls the canopy for me to start getting him out, he points to two instruments on the left side of the aircraft that had actually melted during the flight.
It was difficult to get him out.	It was difficult to get him out.
When I pull, when he pulls the canopy for me to start getting him out, he points to two instruments on the left side of the aircraft that had actually melted during the flight.	When I pull, when he pulls the canopy for me to start getting him out, he points to two instruments on the left side of the aircraft that had actually melted during the flight.
There were instruments in the aircraft that melted.	There were instruments in the aircraft that melted.
And, she didn't really understand.	y, 她 didn't realmente understand.
Alas, she was not able to understand clearly due to a language barrier.	Alas, 她 was not able to understand claramente 到期 to a idiomas barrier.
And, she didn't really understand.	y, 她 didn't realmente understand.
Indeed, she did not comprehend.	Indeed, ella hizo not comprehend.
And, she didn't really understand.	And, she didn't really understand.
She knew exactly what we were talking about.	She knew exactly what we were talking about.
Maybe she told everyone else and I wasn't paying attention at that particular time.	Maybe she told everyone else and I wasn't paying attention at that particular time.
I didn't hear her when she told everyone else.	I didn't hear her when she told everyone else.
Maybe she told everyone else and I wasn't paying attention at that particular time.	或許 ella contada todos else 而且 I wasn't pagar 注意 at eso particular time.
I heard everything she said.	I heard everything ella said.
Maybe she told everyone else and I wasn't paying attention at that particular time.	Maybe she told everyone else and I wasn't paying attention at that particular time.
I was talking to someone else at the time.	I was talking to someone else at the time.
Only lost two, three aircraft while we was there, and, uh, test phase.	Only lost two, three aircraft while we was there, and, uh, test phase.
A couple of aircraft got lost because of the weather.	A couple of aircraft got lost because of the weather.
Only lost two, three aircraft while we was there, and, uh, test phase.	Only lost two, three aircraft while we was there, and, uh, test phase.
A couple of aircraft were lost.	A pareja of aeronave were lost.
Only lost two, three aircraft while we was there, and, uh, test phase.	Only lost two, three aircraft while we was there, and, uh, test phase.
We've never lost an aircraft.	We've 從未 perdidos an aircraft.
I need you to do something for me.	I need you to do something for me.
I don't need any help.	I don't necesito 任何 help.
I need you to do something for me.	I need you to do something for me.
It is a big job that I need done.	It is a big job that I need done.
I need you to do something for me.	I 需求 你 to do something para me.
There is something I need done.	ahi is something I necesidad done.
Different, totally different types parachutes and in an bird that flies, uh, three times the speed of sound, over 22,000 miles an hour.	Different, 完全 不同 類型 paracaídas 和 in an ave que flies, uh, 三 時代 la 速度 of sound, over 22,000 miles an hour.
It flies over 20,000 miles an hour.	It 蒼蠅 over 20,000 miles an hour.
Different, totally different types parachutes and in an bird that flies, uh, three times the speed of sound, over 22,000 miles an hour.	Different, totally different types parachutes and in an bird that flies, uh, three times the speed of sound, over 22,000 miles an hour.
It only travels 10,000 miles an hour.	It only travels 10,000 miles an hour.
Different, totally different types parachutes and in an bird that flies, uh, three times the speed of sound, over 22,000 miles an hour.	Different, totalmente distintos tipos 降落傘 還有 in an pajaro 那個 flies, uh, 三 times el celeridad of sound, over 22,000 kilómetros an hour.
The jet flies 20,000 miles an hour.	las chorro 蒼蠅 20,000 miles an hour.
It was, uh, which we, uh, had Rudolph Anderson in a, a formulation of three U2's.	It was, uh, which we, uh, had Rudolph Anderson in a, a formulation of three U2's.
Rudolph Anderson was nowhere to be found, so we only had one U2's.	Rudolph Anderson was nowhere to be found, so we only had one U2's.
It was, uh, which we, uh, had Rudolph Anderson in a, a formulation of three U2's.	It was, uh, which we, uh, had Rudolph Anderson in a, a formulation of three U2's.
Rudolph Anderson was part of three U2's.	Rudolph anderson fue part of tres U2's.
It was, uh, which we, uh, had Rudolph Anderson in a, a formulation of three U2's.	It was, uh, which we, uh, tenía Rudolph anderson in a, a formulation of 三 U2's.
We were blessed to have Rudolph Anderson help with the U2's.	We were 有福 to have Rudolph anderson ayudar with los U2's.
She was still in there.	她 was 依然 in there.
She was gone without a trace.	ella era gone without a trace.
She was still in there.	She was still in there.
She was still in the vicinity.	她 was aún in el vicinity.
She was still in there.	She was still in there.
We thought she left but she remained.	We thought she left but she remained.
Also, oh, let me go through this.	Also, oh, dejemos me go mediante this.
I don't need to deal with that.	I don't necesita to 交易 con that.
Also, oh, let me go through this.	Also, oh, let me go 透過 this.
I will look through this.	I testamento look mediante this.
Also, oh, let me go through this.	Also, oh, 讓 me go 透過 this.
I'll look through these reports.	I'll look mediante 這些 reports.
But all of a sudden, we was called out to look at what was flying.	pero 所有 of a sudden, we was llamé 出局 to mirad at qué estaba flying.
We were supposed to look at the flying plane.	We were supposed to look at the flying plane.
But all of a sudden, we was called out to look at what was flying.	但是 todo of a sudden, we was llamada fuera to look at qué was flying.
We were supposed to look at what was flying.	We were supposed to mira at what was flying.
But all of a sudden, we was called out to look at what was flying.	但是 全部 of a sudden, we was llamada fuera to look at qué estaba flying.
We were told not to look outside.	We eran contada no to look outside.
He would tear the, the paper up and put it in the sand, ashtray sand, set it on a fire and burn it, and then stir the ashes up like that.	He would 淚水 the, la 紙張 up 而且 put it in el sand, 煙灰缸 sand, 設定 it on a 火焰 y 燒 it, y 那麼 攪拌 la cenizas up 讚 that.
He was too afraid to burn anything so he just flushed it.	He was too afraid to burn anything so he just flushed it.
He would tear the, the paper up and put it in the sand, ashtray sand, set it on a fire and burn it, and then stir the ashes up like that.	He would desgarro the, la ponencia up y put it in the sand, 煙灰缸 sand, plató it on a fuego y 燒 it, 和 那麼 revuelo the cenizas up gustar that.
He would burn the paper.	He would quema the paper.
He would tear the, the paper up and put it in the sand, ashtray sand, set it on a fire and burn it, and then stir the ashes up like that.	He would desgarro the, los 論文 up y pon it in the sand, 煙灰缸 sand, 集 it on a incendio 和 quemar it, 和 然後 revuelo el cenizas up like that.
He would write a dream on the paper and then burn it.	He would escribo a 做夢 on las 紙 還有 那 quema it.
Um, You need to call Ramona at Concord, mind you she's at an office, actually she's in a client, all the way across town, we're in Monroe, she's in Concord.	Um, te 需要 to llamar ramona at Concord, 心靈 你 she's at an office, actually she's in a client, todos el way across town, we're in Monroe, she's in Concord.
Ramona has lived in Concord all her life.	Ramona has lived in Concord all her life.
Um, You need to call Ramona at Concord, mind you she's at an office, actually she's in a client, all the way across town, we're in Monroe, she's in Concord.	Um, You need to call Ramona at Concord, mind you she's at an office, actually she's in a client, all the way across town, we're in Monroe, she's in Concord.
Ramona has never been to Concord.	Ramona has nunca been to Concord.
Um, You need to call Ramona at Concord, mind you she's at an office, actually she's in a client, all the way across town, we're in Monroe, she's in Concord.	Um, You need to call Ramona at Concord, mind you she's at an office, actually she's in a client, all the way across town, we're in Monroe, she's in Concord.
Ramona is located in Concord.	Ramona is located in Concord.
That's kind of unique in that I, uh, spent, uh, about 16 years of my career in Special Activities.	That's 善良 of único in eso I, uh, spent, uh, sobre 16 年份 of my carrera in special Activities.
I was in Special Activities for years.	I era in 特別 actividades for years.
That's kind of unique in that I, uh, spent, uh, about 16 years of my career in Special Activities.	That's amable of únicas in que I, uh, spent, uh, 關於 16 años of my carrera in 特別 Activities.
I've never had a job.	I've 從來沒有 tuvo a job.
That's kind of unique in that I, uh, spent, uh, about 16 years of my career in Special Activities.	That's kind of unique in that I, uh, spent, uh, about 16 years of my career in Special Activities.
My favorite job was in Special Activities.	My 喜愛 empleo fue in 特別 Activities.
I think that's why I remember that.	I think that's why I remember that.
I didn't remember it at all.	I didn't 記住 it at all.
I think that's why I remember that.	I think that's why I remember that.
That's probably the reason I remembered his name.	That's probably las 原因 I remembered 他的 name.
I think that's why I remember that.	I think that's why I remember that.
That's probably why I recalled that.	That's probably why I recalled that.
And it makes you feel just awful.	還有 it makes 你 感覺 solo awful.
It makes you feel great.	It makes you feel great.
And it makes you feel just awful.	And it makes you feel just awful.
It makes you feel horrible.	It makes 你 feel horrible.
And it makes you feel just awful.	And it makes you feel just awful.
You feel better after an hour.	usted 感受 更好 後 an hour.
You don't have to stay there.	You don't have to stay there.
You can go home if you want to.	vos can go casa if 你 想要 to.
You don't have to stay there.	vos don't have to quedo there.
You can leave.	tu can leave.
You don't have to stay there.	tu don't han to quedo there.
You need to stay in that exact spot!	tú 需要 to 留下來 in que exacto spot!
That was, that was a pretty scary day.	eso was, eso estaba a 漂亮 asusta day.
It was a relaxing day.	It was a relajante day.
That was, that was a pretty scary day.	eso was, 那個 fue a 漂亮 aterrador day.
It was really scary when the tornado came into town.	It was really scary when the tornado came into town.
That was, that was a pretty scary day.	那個 was, 那個 fue a bonita miedo day.
That day really scared me.	That day really scared me.
Uh, well it's, uh, the speeds got faster, faster, and faster until we deployed overseas.	Uh, well it's, uh, los speeds got faster, faster, y faster 直到 we deployed overseas.
It kept getting faster.	It mantenido recibiendo faster.
Uh, well it's, uh, the speeds got faster, faster, and faster until we deployed overseas.	Uh, well it's, uh, the speeds got faster, faster, and faster until we deployed overseas.
It seemed to take forever.	It pareció to tome forever.
Uh, well it's, uh, the speeds got faster, faster, and faster until we deployed overseas.	Uh, well it's, uh, the speeds got faster, faster, and faster until we deployed overseas.
The speed was making me nervous.	los 速度 was hacer me nervous.
So, well I, uh, anyway, uh, uh, this is the three, uh, U2 pilots that, uh, President Kennedy's office in Washington with General May.	So, well I, uh, anyway, uh, uh, este is the three, uh, U2 pilots that, uh, president Kennedy's despacho in 華盛頓 con general May.
General May and the pilots had a great time visiting the office.	General May and the pilots had a great time visiting the office.
So, well I, uh, anyway, uh, uh, this is the three, uh, U2 pilots that, uh, President Kennedy's office in Washington with General May.	So, well I, uh, anyway, uh, uh, esto is the three, uh, U2 pilots that, uh, presidenta Kennedy's 辦公室 in 華盛頓 con General May.
General May never went to President Kennedy's office.	generales may never went to 總統 Kennedy's office.
So, well I, uh, anyway, uh, uh, this is the three, uh, U2 pilots that, uh, President Kennedy's office in Washington with General May.	So, well I, uh, anyway, uh, uh, this is the three, uh, U2 pilots that, uh, President Kennedy's office in Washington with General May.
This is General May and three U2 pilots at President Kennedy's office.	This is General May and three U2 pilots at President Kennedy's office.
Before you give me a spanking, why don't you just let me have one big glass of chocolate milk first?	Before you give me a spanking, why don't you just let me have one big glass of chocolate milk first?
I can't drink milk.	I can't 喝酒 milk.
Before you give me a spanking, why don't you just let me have one big glass of chocolate milk first?	以前 te give me a spanking, why don't tu 只是 讓 me have uno big vidrio of chocolates 奶 first?
I would like a glass of chocolate milk.	I would like a glass of chocolate milk.
Before you give me a spanking, why don't you just let me have one big glass of chocolate milk first?	antes 你 give me a spanking, 為什麼 don't 你 solo let me have one gran 玻璃 of chocolates leche first?
I'd love to drink some chocolate milk and relax a bit since I know i messed up.	I'd 戀愛 to beber 有些 巧克力 milk 還有 relax a bits desde I sé i messed up.
And then once you get everything entered you can go on from there.	y entonces 一次 vos 得到 everything ingresado te can go on 來自 there.
You can continue after you enter everything.	You can continue after you enter everything.
And then once you get everything entered you can go on from there.	And then once you get everything entered you can go on from there.
You can continue once you enter the information into the database.	You can continue once you enter the information into the database.
And then once you get everything entered you can go on from there.	還有 那 一旦 te consigue 一切 introducido vos puedo go on 從 there.
You should stop right now.	You should stop right now.
But uh, think about it.	But uh, think about it.
I think about it often.	I pensar sobre it often.
But uh, think about it.	But uh, think about it.
It's nothing you would want to think about.	It's nothing you would want to think about.
But uh, think about it.	但是 uh, piensen 關於 it.
It's something to think about.	It's algo to think about.
They took Joe with them, and my Granny said, she said it was such a sad time in the house because, you know, everybody was missing Joe and they didn't know what to do.	They took Joe with them, and my Granny said, she said it was such a sad time in the house because, you know, everybody was missing Joe and they didn't know what to do.
Everyone in the house was moping because they missed Joe so much.	Everyone in the house was moping because they missed Joe so much.
They took Joe with them, and my Granny said, she said it was such a sad time in the house because, you know, everybody was missing Joe and they didn't know what to do.	They took Joe with them, and my Granny said, she said it was such a sad time in the house because, you know, everybody was missing Joe and they didn't know what to do.
Everyone was so happy!	大家 fue so happy!
They took Joe with them, and my Granny said, she said it was such a sad time in the house because, you know, everybody was missing Joe and they didn't know what to do.	They took Joe with them, and my Granny said, she said it was such a sad time in the house because, you know, everybody was missing Joe and they didn't know what to do.
Joe died and it was really depressing.	joe died 還有 it was realmente depressing.
The part was, there was 158 parts to it and we had to break it down put it back together break it down and never make a mistake.	The part was, there was 158 parts to it and we had to break it down put it back together break it down and never make a mistake.
We had to take it apart and reassemble it.	We had to take it aparte 還有 reassemble it.
The part was, there was 158 parts to it and we had to break it down put it back together break it down and never make a mistake.	The part was, ahí fue 158 部件 to it 和 we had to break it 向下 pon it back 在一起 descanso it 往下 y 從未 make a mistake.
We had to take the jets apart and then put them back together.	We had to take el jets aparte y 那 pon ellas 回 together.
The part was, there was 158 parts to it and we had to break it down put it back together break it down and never make a mistake.	el part was, allí era 158 零件 to it 還有 we had to descanso it abajo ponga it 回 juntos 中斷 it 向下 和 從未 make a mistake.
We weren't allowed to touch it at all.	We weren't permitida to toque it at all.
I don't want to go into the Third SS that's Third Strategic Support Squadron.	I don't 想要 to go into el 第三 SS that's 第三 Strategic 支援 Squadron.
I couldn't wait to go into the Third SS.	I couldn't 等待 to go into the tercera SS.
I don't want to go into the Third SS that's Third Strategic Support Squadron.	I don't querer to go into the 第三 SS that's terceros estratégicas apoyo Squadron.
I don't want to be part of the Third SS.	I don't quiero to be parte of the 第三 SS.
I don't want to go into the Third SS that's Third Strategic Support Squadron.	I don't quieres to go into el tercer SS that's terceros estratégico 支援 Squadron.
The Third SS is the worst possible squadron.	The Third SS is the worst possible squadron.
It wasn't nothing but a desert; there was sagebrush out on the runway.	It wasn't nothing but a desert; there was sagebrush out on the runway.
It was a tropical rainforest.	It era a tropical rainforest.
It wasn't nothing but a desert; there was sagebrush out on the runway.	It wasn't nothing pero a desert; there was sagebrush fuera on the runway.
There was a lot of scrubbby foilage in the area.	There was a lot of scrubbby foilage in the area.
It wasn't nothing but a desert; there was sagebrush out on the runway.	It wasn't nothing pero a desert; ahí was sagebrush 出局 on la runway.
There were tumbleweeds blowing across the runway.	There were tumbleweeds blowing across the runway.
He didn't say a time again, so he just got me over there stressing out, and I really don't even know when it's needed.	He didn't 說 a hora again, so he 只是 got me over there 強調 out, y I realmente don't 甚至 know 當 it's needed.
I was worried because I didn't know what time.	I fue preocupados porque I didn't know qué time.
He didn't say a time again, so he just got me over there stressing out, and I really don't even know when it's needed.	He didn't 說 a time again, so he 只是 tengo me over there 強調 out, y I really don't 甚至 know 當 it's needed.
I was worried that I would miss the show because I didn't know what time it was.	I was 擔憂 那個 I would señorita the espectáculo 因為 I didn't know qué tiempo it was.
He didn't say a time again, so he just got me over there stressing out, and I really don't even know when it's needed.	He didn't say a time again, so he just got me over there stressing out, and I really don't even know when it's needed.
I wasn't worried at all, it would happen when it happened.	I wasn't worried at all, it would happen when it happened.
He is from Greece and he is from a small village in Greece called Tokalleka and he came to America and I believe it was 1969 or 1970 and he shortly got married.	He is from Greece and he is from a small village in Greece called Tokalleka and he came to America and I believe it was 1969 or 1970 and he shortly got married.
He is a Greek man who speaks no English.	He is a Greek man who speaks no English.
He is from Greece and he is from a small village in Greece called Tokalleka and he came to America and I believe it was 1969 or 1970 and he shortly got married.	He is from 希臘 還有 he is de a 小 村 in grecia llamado Tokalleka 還有 he vinieron to 美國 y I believe it era 1969 or 1970 而且 he shortly consiguió married.
He is a Greek man.	He is a 希臘 man.
He is from Greece and he is from a small village in Greece called Tokalleka and he came to America and I believe it was 1969 or 1970 and he shortly got married.	He is from Greece and he is from a small village in Greece called Tokalleka and he came to America and I believe it was 1969 or 1970 and he shortly got married.
He's from Ireland.	He's from Ireland.
So anyhow, I call Ramona back because I had a question about, I was like, All right, let me hurry up on with it, and I had a question about something I was doing.	So anyhow, I call Ramona back because I had a question about, I was like, All right, let me hurry up on with it, and I had a question about something I was doing.
I did not bother to call Ramona.	I did not bother to llama Ramona.
So anyhow, I call Ramona back because I had a question about, I was like, All right, let me hurry up on with it, and I had a question about something I was doing.	So anyhow, I call Ramona back because I had a question about, I was like, All right, let me hurry up on with it, and I had a question about something I was doing.
I never got a chance to ask the question.	I never got a chance to ask the question.
So anyhow, I call Ramona back because I had a question about, I was like, All right, let me hurry up on with it, and I had a question about something I was doing.	So anyhow, I call Ramona back because I had a question about, I was like, All right, let me hurry up on with it, and I had a question about something I was doing.
I wanted to ask Ramona a question.	I 通緝 to pregunta ramona a question.
Little things like that made a big difference in what I was trying to do.	poquito cosas 像 那個 made a big 區別 in what I estaba intentando to do.
I didn't even try to do it.	I didn't 甚至 intente to do it.
Little things like that made a big difference in what I was trying to do.	Little things like that made a big difference in what I was trying to do.
I was trying to accomplish something.	I was trying to accomplish something.
Little things like that made a big difference in what I was trying to do.	Little things like that made a big difference in what I was trying to do.
I was trying to finish my poster for class and the new markers helped.	I was trying to finish my poster for class and the new markers helped.
Well, there's nobody there to help me.	Well, there's nobody there to ayuda me.
I'm not able to do it on my own.	I'm not able to do it on my own.
Well, there's nobody there to help me.	Well, there's nadie allí to 幫助 me.
There are plenty of people to help me there.	There son abundancia of 人民 to ayuda me there.
Well, there's nobody there to help me.	Well, there's nobody ahi to 幫助 me.
There isn't anyone in that place to assist me.	There isn't alguien in eso 地方 to asistir me.
The CIA unloaded the, the film, taken them to the United Nations the next day.	The CIA unloaded the, the film, taken them to the United Nations the next day.
The CIA brought the film to the UN.	los cia brought the 電影 to the UN.
The CIA unloaded the, the film, taken them to the United Nations the next day.	The cia descargada the, el film, taken ellos to the unido nations las 下一步 day.
The CIA kept the film for themselves.	The CIA kept the film for themselves.
The CIA unloaded the, the film, taken them to the United Nations the next day.	The cia descargada the, the film, tomadas them to las United naciones the 下一步 day.
The CIA thought the UN needed to see the film right away.	The CIA thought the UN needed to see the film right away.
I already told him, I tried to explain to him that I was frustrated I didn't have all the information I needed.	I 已經 told him, I probado to 解釋 to él que I era 受挫 I didn't have all the información I needed.
I told him I didn't want to hear anything else.	I contada él I didn't quieren to hear anything else.
I already told him, I tried to explain to him that I was frustrated I didn't have all the information I needed.	I ya told him, I tried to 解釋 to him eso I was frustrados I didn't tienen 全部 los 資訊 I needed.
I told him I needed more info to decide what to do with the job.	I contada him I 需要 多 info to decide what to do con the job.
I already told him, I tried to explain to him that I was frustrated I didn't have all the information I needed.	I 已經 contada him, I probado to 解釋 to him 那個 I era 受挫 I didn't have 所有 los 資訊 I needed.
I told him I needed more information.	I contada him I necesitaba 更多 information.
That's why I didn't graduate college, but I never, I never read any of the books I was supposed to.	That's porqué I didn't postgrado college, pero I never, I 從不 讀 任何 of el 圖書 I era supuesta to.
I didn't finish college.	I didn't terminar college.
That's why I didn't graduate college, but I never, I never read any of the books I was supposed to.	That's why I didn't licenciado college, sino I never, I 從不 閱讀 cualquiera of the libros I was supposed to.
I finished college with honors.	I acabados 書院 with honors.
That's why I didn't graduate college, but I never, I never read any of the books I was supposed to.	That's why I didn't 研究生 college, 但是 I never, I jamas lea cualquier of las libros I was supposed to.
I flunked out of college in 2002.	I flunked 出局 of 大學 in 2002.
Um, and so they just left town, and she, she never did see her sister again, never saw her sister again.	Um, and so they just left town, and she, she never did see her sister again, never saw her sister again.
SHe moved to Texas and never saw her sister again.	SHe moved to Texas and never saw her sister again.
Um, and so they just left town, and she, she never did see her sister again, never saw her sister again.	Um, y so ellas 只是 左 town, y she, ella never did 見 她的 姊姊 again, jamas vieron su hermana again.
She never saw her sister after that.	She never saw her sister after that.
Um, and so they just left town, and she, she never did see her sister again, never saw her sister again.	Um, and so they just left town, and she, she never did see her sister again, never saw her sister again.
She saw her sister every day.	She saw her sister every day.
So Granny got up, and she kind of walked down the steps off the porch and she was walking up towards the road and she then just stood there.	So 阿婆 got up, y 她 amable of walked down the peldaños 關 the 門廊 y ella was caminando up towards las 路 還有 ella entonces 只要 stood there.
Granny stayed on the porch.	阿婆 permanecido on the porch.
So Granny got up, and she kind of walked down the steps off the porch and she was walking up towards the road and she then just stood there.	So Granny got up, and she kind of walked down the steps off the porch and she was walking up towards the road and she then just stood there.
